Area,Domain,Objective ID,Objective,Objective Description,Objective Purpose Statement
Management,"Align, Plan and Organize",APO06,Managed Budget and Costs,"Manage the I&T-related financial activities in both the business and IT functions, covering budget, cost and benefit management and prioritization of spending through the use of formal budgeting practices and a fair and equitable system of allocating costs to the enterprise. Consult stakeholders to identify and control the total costs and benefits within the context of the I&T strategic and tactical plans. Initiate corrective action where needed.",Foster a partnership between IT and enterprise stakeholders to enable the effective and efficient use of I&T-related resources and provide transparency and accountability of the cost and business value of solutions and services. Enable the enterprise to make informed decisions regarding the use of I&T solutions and services.
Management,"Align, Plan and Organize",APO07,Managed Human Resources,"Provide a structured approach to ensure optimal recruitment/acquisition, planning, evaluation and development of human resources (both internal and external).",Optimize human resources capabilities to meet enterprise objectives.
Management,"Align, Plan and Organize",APO08,Managed Relationships,"Manage relationships with business stakeholders in a formalized and transparent way that ensures mutual trust and a combined focus on achieving the strategic goals within the constraints of budgets and risk tolerance. Base relationships on open and transparent communication, a common language, and the willingness to take ownership and accountability for key decisions on both sides. Business and IT must work together to create successful enterprise outcomes in support of the enterprise objectives.","Enable the right knowledge, skills and behaviors to create improved outcomes, increased confidence, mutual trust and effective use of resources that stimulate a productive relationship with business stakeholders."
Management,"Align, Plan and Organize",APO09,Managed Service Agreements,"Align I&T-enabled products and services and service levels with enterprise needs and expectations, including identification, specification, design, publishing, agreement, and monitoring of I&T products and services, service levels and performance indicators.","Ensure that I&T products, services and service levels meet current and future enterprise needs."
Management,"Align, Plan and Organize",APO10,Managed Vendors,"Manage I&T-related products and services provided by all types of vendors to meet enterprise requirements. This includes the search for and selection of vendors, management of relationships, management of contracts, and reviewing and monitoring of vendor performance and vendor ecosystem (including upstream supply chain) for effectiveness and compliance.","Optimize available I&T capabilities to support the I&T strategy and road map, minimize the risk associated with nonperforming or noncompliant vendors, and ensure competitive pricing."
Management,"Align, Plan and Organize",APO11,Managed Quality,"Define and communicate quality requirements in all processes, procedures and related enterprise outcomes. Enable controls, ongoing monitoring, and the use of proven practices and standards in continuous improvement and efficiency efforts.",Ensure consistent delivery of technology solutions and services to meet the quality requirements of the enterprise and satisfy stakeholder needs.
Management,"Align, Plan and Organize",APO12,Managed Risk,"Continually identify, assess and reduce I&T-related risk within tolerance levels set by enterprise executive management.",Integrate the management of I&T-related enterprise risk with overall enterprise risk management (ERM) and balance the costs and benefits of managing I&T-related enterprise risk.
Management,"Align, Plan and Organize",APO13,Managed Security,"Define, operate and monitor an information security system.",Keep the impact and occurrence of information security privacy incidents within the enterprise’s risk appetite levels.
Management,"Align, Plan and Organize",APO14,Managed Data,"Achieve and sustain effective management of the enterprise data assets across the data life cycle, from creation through delivery, maintenance and archiving.",Ensure effective utilization of the critical data assets to achieve enterprise goals and objectives.
Management,"Build, Acquire and Implement",BAI01,Managed Programs,"Manage all programs from the investment portfolio in alignment with enterprise strategy and in a coordinated way, based on a standard program management approach. Initiate, plan, control, and execute programs, and monitor expected value from the program.","Realize desired business value and reduce the risk of unexpected delays, costs and value erosion. To do so, improve communications to and involvement of business and end users, ensure the value and quality of program deliverables and follow up of projects within the programs, and maximize program contribution to the investment portfolio."
Management,"Build, Acquire and Implement",BAI02,Managed Requirements Definition,"Identify solutions and analyze requirements before acquisition or creation to ensure that they align with enterprise strategic requirements covering business processes, applications, information/data, infrastructure and services. Coordinate the review of feasible options with affected stakeholders, including relative costs and benefits, risk analysis, and approval of requirements and proposed solutions.",Create optimal solutions that meet enterprise needs while minimizing risk.
Management,"Build, Acquire and Implement",BAI03,Managed Solutions Identification and Build,"Establish and maintain identified products and services (technology, business processes and workflows) in line with enterprise requirements covering design, development, procurement/sourcing and partnering with vendors. Manage configuration, test preparation, testing, requirements management and maintenance of business processes, applications, information/data, infrastructure and services.","Ensure agile and scalable delivery of digital products and services. Establish timely and cost-effective solutions (technology, business processes and workflows) capable of supporting enterprise strategic and operational objectives."
Management,"Build, Acquire and Implement",BAI04,Managed Availability and Capacity,"Balance current and future needs for availability, performance and capacity with cost-effective service provision. Include assessment of current capabilities, forecasting of future needs based on business requirements, analysis of business impacts, and assessment of risk to plan and implement actions to meet the identified requirements.","Maintain service availability, efficient management of resources and optimization of system performance through prediction of future performance and capacity requirements."
Management,"Build, Acquire and Implement",BAI05,Managed Organizational Change,Maximize the likelihood of successfully implementing sustainable enterprisewide organizational change quickly and with reduced risk. Cover the complete life cycle of the change and all affected stakeholders in the business and IT.,Prepare and commit stakeholders for business change and reduce the risk of failure.
Management,"Build, Acquire and Implement",BAI06,Managed IT Changes,"Manage all changes in a controlled manner, including standard changes and emergency maintenance relating to business processes, applications and infrastructure. This includes change standards and procedures, impact assessment, prioritization and authorization, emergency changes, tracking, reporting, closure, and documentation.",Enable fast and reliable delivery of change to the business. Mitigate the risk of negatively impacting the stability or integrity of the changed environment.
Management,"Build, Acquire and Implement",BAI07,Managed IT Change Acceptance and Transitioning,"Formally accept and make operational new solutions. Include implementation planning, system and data conversion, acceptance testing, communication, release preparation, promotion to production of new or changed business processes and I&T services, early production support, and a post-implementation review.",Implement solutions safely and in line with the agreed expectations and outcomes.
Management,"Build, Acquire and Implement",BAI08,Managed Knowledge,"Maintain the availability of relevant, current, validated and reliable knowledge and management information to support all process activities and to facilitate decision making related to the governance and management of enterprise I&T. Plan for the identification, gathering, organizing, maintaining, use and retirement of knowledge.",Provide the knowledge and information required to support all staff in the governance and management of enterprise I&T and allow for informed decision making.
Management,"Build, Acquire and Implement",BAI09,Managed Assets,"Manage I&T assets through their life cycle to make sure that their use delivers value at optimal cost, they remain operational (fit for purpose), and they are accounted for and physically protected. Ensure that those assets that are critical to support service capability are reliable and available. Manage software licenses to ensure that the optimal number are acquired, retained and deployed in relation to required business usage, and the software installed is in compliance with license agreements.",Account for all I&T assets and optimize the value provided by their use.
Management,"Build, Acquire and Implement",BAI10,Managed Configuration,"Define and maintain descriptions and relationships among key resources and capabilities required to deliver I&T-enabled services. Include collecting configuration information, establishing baselines, verifying and auditing configuration information, and updating the configuration repository.",Provide sufficient information about service assets to enable the service to be effectively managed. Assess the impact of changes and deal with service incidents.
Management,"Build, Acquire and Implement",BAI11,Managed Projects,"Manage all projects that are initiated within the enterprise in alignment with enterprise strategy and in a coordinated way based on the standard project management approach. Initiate, plan, control and execute projects, and close with a post-implementation review.","Realize defined project outcomes and reduce the risk of unexpected delays, costs and value erosion by improving communications to and involvement of business and end users. Ensure the value and quality of project deliverables and maximize their contribution to the defined programs and investment portfolio."
Management,"Deliver, Service and Support",DSS01,Managed Operations,Coordinate and execute the activities and operational procedures required to deliver internal and outsourced I&T services. Include the execution of predefined standard operating procedures and the required monitoring activities.,Deliver I&T operational product and service outcomes as planned.
Management,"Deliver, Service and Support",DSS02,Managed Service Requests and Incidents,"Provide timely and effective response to user requests and resolution of all types of incidents. Restore normal service; record and fulfil user requests; and record, investigate, diagnose, escalate and resolve incidents.",Achieve increased productivity and minimize disruptions through quick resolution of user queries and incidents. Assess the impact of changes and deal with service incidents. Resolve user requests and restore service in response to incidents.
Management,"Deliver, Service and Support",DSS03,Managed Problems,Identify and classify problems and their root causes. Provide timely resolution to prevent recurring incidents. Provide recommendations for improvements.,"Increase availability, improve service levels, reduce costs, improve customer convenience and satisfaction by reducing the number of operational problems, and identify root causes as part of problem resolution."
Management,"Deliver, Service and Support",DSS04,Managed Continuity,"Establish and maintain a plan to enable the business and IT organizations to respond to incidents and quickly adapt to disruptions. This will enable continued operations of critical business processes and required I&T services and maintain availability of resources, assets and information at a level acceptable to the enterprise.","Adapt rapidly, continue business operations and maintain availability of resources and information at a level acceptable to the enterprise in the event of a significant disruption (e.g., threats, opportunities, demands)."
Management,"Deliver, Service and Support",DSS05,Managed Security Services,Protect enterprise information to maintain the level of information security risk acceptable to the enterprise in accordance with the security policy. Establish and maintain information security roles and access privileges. Perform security monitoring.,Minimize the business impact of operational information security vulnerabilities and incidents.
Management,"Deliver, Service and Support",DSS06,Managed Business Process Controls,"Define and maintain appropriate business process controls to ensure that information related to and processed by in-house or outsourced business processes satisfies all relevant information control requirements. Identify the relevant information control requirements. Manage and operate adequate input, throughput and output controls (application controls) to ensure that information and information processing satisfy these requirements.",Maintain information integrity and the security of information assets handled within business processes in the enterprise or its outsourced operation.
Management,"Monitor, Evaluate and Assess",MEA01,Managed Performance and Conformance Monitoring,"Collect, validate and evaluate enterprise and alignment goals and metrics. Monitor that processes and practices are performing against agreed performance and conformance goals and metrics. Provide reporting that is systematic and timely.",Provide transparency of performance and conformance and drive achievement of goals.
Management,"Monitor, Evaluate and Assess",MEA02,Managed System of Internal Control,"Continuously monitor and evaluate the control environment, including self-assessments and self-awareness. Enable management to identify control deficiencies and inefficiencies and to initiate improvement actions. Plan, organize and maintain standards for internal control assessment and process control effectiveness.","Obtain transparency for key stakeholders on the adequacy of the system of internal controls and thus provide trust in operations, confidence in the achievement of enterprise objectives and an adequate understanding of residual risk."
Management,"Monitor, Evaluate and Assess",MEA03,Managed Compliance With External Requirements,"Evaluate that I&T processes and I&T-supported business processes are compliant with laws, regulations and contractual requirements. Obtain assurance that the requirements have been identified and complied with; integrate IT compliance with overall enterprise compliance.",Ensure that the enterprise is compliant with all applicable external requirements.
Management,"Monitor, Evaluate and Assess",MEA04,Managed Assurance,"Plan, scope and execute assurance initiatives to comply with internal requirements, laws, regulations and strategic objectives. Enable management to deliver adequate and sustainable assurance in the enterprise by performing independent assurance reviews and activities.","Enable the organization to design and develop efficient and effective assurance initiatives, providing guidance on planning, scoping, executing and following up on assurance reviews, using a road map based on well-accepted assurance approaches."
