Cobit Code,Cobit omschrijving,Cobit Vraag,AFM eigenaar,Secundair,Legenda,
APO01.02 Establish roles and responsibilities. ,"Establish, agree on and communicate roles and responsibilities of IT personnel, as well as other stakeholders with responsibilities for enterprise IT, that clearly reflect overall business needs and IT objectives and relevant personnel’s authority, responsibilities and accountability. ","2. Determine the degree to which other organisational roles have information security obligations, and add these obligations to the relevant job descriptions. ",ISO2,,,
APO01.03 Maintain the enablers of the management system.,"Maintain the enablers of the management system and control environment for enterprise IT, and ensure that they are integrated and aligned with the enterprise’s governance and management philosophy and operating style. These enablers include the clear communication of expectations/requirements. The management system should encourage cross-divisional co-operation and teamwork, promote compliance and continuous improvement, and handle process deviations (including failure). ","1. Consider the enterprise’s internal environment, including management culture and philosophy, risk tolerance, ethical values, code of conduct, accountability, and requirements for information security. ",RM,,,
APO01.03 Maintain the enablers of the management system.,"Maintain the enablers of the management system and control environment for enterprise IT, and ensure that they are integrated and aligned with the enterprise’s governance and management philosophy and operating style. These enablers include the clear communication of expectations/requirements. The management system should encourage cross-divisional co-operation and teamwork, promote compliance and continuous improvement, and handle process deviations (including failure). ","2. Align with applicable national and international information security standards and codes of practice, and evaluate available information security good practices. ",ISO2,,,
APO01.03 Maintain the enablers of the management system.,"Maintain the enablers of the management system and control environment for enterprise IT, and ensure that they are integrated and aligned with the enterprise’s governance and management philosophy and operating style. These enablers include the clear communication of expectations/requirements. The management system should encourage cross-divisional co-operation and teamwork, promote compliance and continuous improvement, and handle process deviations (including failure). ","3. Develop information security and related policies, taking into account business and legal or regulatory requirements and contractual security obligations, high-level organisational policies and the enterprise’s internal environment. ",ISO2,,,
APO01.04 Communicate management objectives and direction.,Communicate awareness and understanding of IT objectives and direction to appropriate stakeholders and users throughout the enterprise. ,"1. Define the expectations with regard to information security, including specific organisational ethics and culture. ",B,,,
APO01.04 Communicate management objectives and direction.,Communicate awareness and understanding of IT objectives and direction to appropriate stakeholders and users throughout the enterprise. ,2. Develop an information security awareness programme. ,ISO2,,,
APO01.04 Communicate management objectives and direction.,Communicate awareness and understanding of IT objectives and direction to appropriate stakeholders and users throughout the enterprise. ,3. Establish metrics to measure behaviours regarding information security. ,ISO2,,,
APO01.05 Optimise the placement of the IT function.,"Position the IT capability in the overall organisational structure to reflect an enterprise model relevant to the importance of IT within the enterprise, specifically its criticality to enterprise strategy and the level of operational dependence on IT. The reporting line of the CIO should be commensurate with the importance of IT within the enterprise. ",1. Define the information security function and all relevant activities and attributes. ,ISO2,,,
APO01.05 Optimise the placement of the IT function.,"Position the IT capability in the overall organisational structure to reflect an enterprise model relevant to the importance of IT within the enterprise, specifically its criticality to enterprise strategy and the level of operational dependence on IT. The reporting line of the CIO should be commensurate with the importance of IT within the enterprise. ",2. Define the placement of the information security function in the enterprise and obtain agreement from all relevant parties. ,B,,,
APO01.06 Define information (data) and system ownership.,Define and maintain responsibilities for ownership of information (data) and information systems. Ensure that owners make decisions about classifying information and systems and protecting them in line with this classification. ,1. Define enterprise-level system and data ownership within the information security management processes. ,RM,,,
APO01.06 Define information (data) and system ownership.,Define and maintain responsibilities for ownership of information (data) and information systems. Ensure that owners make decisions about classifying information and systems and protecting them in line with this classification. ,2. Assign data information security custodians within the information security management processes. ,RM,,,
APO01.07 Manage continual improvement of processes.,"Assess, plan and execute the continual improvement of processes and their maturity to ensure that they are capable of delivering against enterprise, governance, management and control objectives. Consider COBIT process implementation guidance, emerging standards, compliance requirements, automation opportunities, and the feedback of process users, the process team and other stakeholders. Update the process and consider impacts on process enablers. ","1. Consider ways to improve the efficiency and effectiveness of the information security function, e.g., through training of the information security staff; documentation of processes, technology and applications; and standardisation and automation of the process. ",ISO2,,,
APO01.07 Manage continual improvement of processes.,"Assess, plan and execute the continual improvement of processes and their maturity to ensure that they are capable of delivering against enterprise, governance, management and control objectives. Consider COBIT process implementation guidance, emerging standards, compliance requirements, automation opportunities, and the feedback of process users, the process team and other stakeholders. Update the process and consider impacts on process enablers. ",2. Review reports (such as audit reports or risk assessments) detailing information security control and process weaknesses. ,ISO2,,,
APO01.08 Maintain compliance with policies and procedures.,"Put in place procedures to maintain compliance with and performance measurement of policies and other enablers of the control framework, and enforce the consequences of non-compliance or inadequate performance. Track trends and performance and consider these in the future design and improvement of the control framework. ",1. Schedule and perform regular assessments to determine compliance with information security policies and procedures. ,ISO2,,,
APO02.01 Understand enterprise direction. ,"Consider the current enterprise environment and business processes, as well as the enterprise strategy and future objectives. Consider also the external environment of the enterprise (industry drivers, relevant regulations, basis for competition). ",1. Understand how information security should support overall enterprise objectives and protect stakeholder interests by taking into account the need to manage information risk while meeting legal and regulatory compliance requirements and adding value to the enterprise. ,RM,,,
APO02.01 Understand enterprise direction. ,"Consider the current enterprise environment and business processes, as well as the enterprise strategy and future objectives. Consider also the external environment of the enterprise (industry drivers, relevant regulations, basis for competition). ",2. Understand the current enterprise architecture and identify potential information security gaps. ,IM,,,
"APO02.02 Assess the current environment, capabilities and performance.","Assess the performance of current internal business and IT capabilities and external IT services, and develop an understanding of the enterprise architecture in relation to IT. Identify issues currently being experienced and develop recommendations in areas that could benefit from improvement. Consider service provider differentiators and options and the financial impact and potential costs and benefits of using external services. ",1. Develop an information security capability baseline. ,ISO2,,,
"APO02.02 Assess the current environment, capabilities and performance.","Assess the performance of current internal business and IT capabilities and external IT services, and develop an understanding of the enterprise architecture in relation to IT. Identify issues currently being experienced and develop recommendations in areas that could benefit from improvement. Consider service provider differentiators and options and the financial impact and potential costs and benefits of using external services. ",2. Create relevant and clear information security criteria to identify risk and prioritise gaps. ,RM,,,
APO02.03 Define the target IT capabilities. ,"Define the target business and IT capabilities and required IT services. This should be based on the understanding of the enterprise environment and requirements; the assessment of the current business process and IT environment and issues; and consideration of reference standards, good practices and validated emerging technologies or innovation proposals. ",1. Ensure that information security requirements are included in the definition of target IT capabilities. ,IT,,,
APO02.03 Define the target IT capabilities. ,"Define the target business and IT capabilities and required IT services. This should be based on the understanding of the enterprise environment and requirements; the assessment of the current business process and IT environment and issues; and consideration of reference standards, good practices and validated emerging technologies or innovation proposals. ",2. Define the target state for information security. ,ISO2,,,
APO02.03 Define the target IT capabilities. ,"Define the target business and IT capabilities and required IT services. This should be based on the understanding of the enterprise environment and requirements; the assessment of the current business process and IT environment and issues; and consideration of reference standards, good practices and validated emerging technologies or innovation proposals. ","3. Define and agree on the impact of information security requirements on enterprise architecture, acknowledging the relevant stakeholders. ",IM,,,
APO02.04 Conduct a gap analysis. ,Identify the gaps between the current and target environments and consider the alignment of assets (the capabilities that support services) with business outcomes to optimise investment in and utilisation of the internal and external asset base. Consider the critical success factors to support strategy execution. ,1. Identify all gaps to be closed and changes required to realise the target environment. ,ISO2,,,
APO02.04 Conduct a gap analysis. ,Identify the gaps between the current and target environments and consider the alignment of assets (the capabilities that support services) with business outcomes to optimise investment in and utilisation of the internal and external asset base. Consider the critical success factors to support strategy execution. ,2. Benchmark information security against well-understood and reliable industry norms. ,ISO2,,,
APO02.04 Conduct a gap analysis. ,Identify the gaps between the current and target environments and consider the alignment of assets (the capabilities that support services) with business outcomes to optimise investment in and utilisation of the internal and external asset base. Consider the critical success factors to support strategy execution. ,3. Examine the current environment with respect to regulations and compliance requirements. ,ISO2,,,
APO02.05 Define the strategic plan and road map. ,"Create a strategic plan that defines, in co-operation with relevant stakeholders, how IT-related goals will contribute to the enterprise’s strategic goals. Include how IT will support IT-enabled investment programmes, business processes, IT services and IT assets. Direct IT to define the initiatives that will be required to close the gaps, the sourcing strategy and the measurements to be used to monitor achievement of goals, then prioritise the initiatives and combine them in a high-level road map. ",1. Define the information security strategy and align it with IT and business strategies and the enterprise’s overall objectives. ,RM,,,
APO02.05 Define the strategic plan and road map. ,"Create a strategic plan that defines, in co-operation with relevant stakeholders, how IT-related goals will contribute to the enterprise’s strategic goals. Include how IT will support IT-enabled investment programmes, business processes, IT services and IT assets. Direct IT to define the initiatives that will be required to close the gaps, the sourcing strategy and the measurements to be used to monitor achievement of goals, then prioritise the initiatives and combine them in a high-level road map. ",2. Ensure that the current IT strategic plan and road map take into account information security requirements. ,IT,,,
APO02.05 Define the strategic plan and road map. ,"Create a strategic plan that defines, in co-operation with relevant stakeholders, how IT-related goals will contribute to the enterprise’s strategic goals. Include how IT will support IT-enabled investment programmes, business processes, IT services and IT assets. Direct IT to define the initiatives that will be required to close the gaps, the sourcing strategy and the measurements to be used to monitor achievement of goals, then prioritise the initiatives and combine them in a high-level road map. ","3. Create a road map that includes a relative scheduling, interdependencies of the initiatives, metrics (what) and targets (how much) that can be related to enterprise benefits. ",IM,,,
APO02.06 Communicate the IT strategy and direction.,"Create awareness and understanding of the business and IT objectives and direction, as captured in the IT strategy, through communication to appropriate stakeholders and users throughout the enterprise. ","1. Develop the information security plan, outlining the practical consequences of information security for the enterprise. ",ISO2,,,
APO02.06 Communicate the IT strategy and direction.,"Create awareness and understanding of the business and IT objectives and direction, as captured in the IT strategy, through communication to appropriate stakeholders and users throughout the enterprise. ",2. Communicate the information security strategy and information security plan to the enterprise and all relevant stakeholders. ,ISO2,,,
APO02.06 Communicate the IT strategy and direction.,"Create awareness and understanding of the business and IT objectives and direction, as captured in the IT strategy, through communication to appropriate stakeholders and users throughout the enterprise. ","3. Promote the information security function within the enterprise and outside the enterprise, if relevant. ",ISO2,,,
APO03.01 Develop the enterprise architecture vision. ,"The architecture vision provides a first-cut, high-level description of the baseline and target architectures, covering the business, information, data, application and technology domains. The architecture vision provides the sponsor with a key tool to sell the benefits of the proposed capability to stakeholders within the enterprise. The architecture vision describes how the new capability will meet enterprise goals and strategic objectives and address stakeholder concerns when implemented. ",1. Define information security objectives and requirements for the enterprise architecture. ,ISO2/IM,,,
APO03.01 Develop the enterprise architecture vision. ,"The architecture vision provides a first-cut, high-level description of the baseline and target architectures, covering the business, information, data, application and technology domains. The architecture vision provides the sponsor with a key tool to sell the benefits of the proposed capability to stakeholders within the enterprise. The architecture vision describes how the new capability will meet enterprise goals and strategic objectives and address stakeholder concerns when implemented. ",2. Define the information security value proposition and related goals and metrics. ,ISO2,,,
APO03.01 Develop the enterprise architecture vision. ,"The architecture vision provides a first-cut, high-level description of the baseline and target architectures, covering the business, information, data, application and technology domains. The architecture vision provides the sponsor with a key tool to sell the benefits of the proposed capability to stakeholders within the enterprise. The architecture vision describes how the new capability will meet enterprise goals and strategic objectives and address stakeholder concerns when implemented. ",3. Consider industry good practices in building the information security architecture vision. ,IT,,,
APO03.02 Define reference architecture. ,"The reference architecture describes the current and target architectures for the business, information, data, application and technology domains. ","1. Ensure inclusion of information security artefacts, policies and standards in the architecture repository. ",ISO2,,,
APO03.02 Define reference architecture. ,"The reference architecture describes the current and target architectures for the business, information, data, application and technology domains. ","2. Ensure that information security is integrated across all architectural domains (e.g., business, information, data, applications, technology). ",IT,,,
APO03.03 Select opportunities and solutions. ,"Rationalise the gaps between baseline and target architectures, taking both business and technical perspectives, and logically group them into project work packages. Integrate the project with any related IT-enabled investment programmes to ensure that the architectural initiatives are aligned with and enable these initiatives as part of overall enterprise change. Make this a collaborative effort with key enterprise stakeholders from business and IT to assess the enterprise’s transformation readiness, and identify opportunities, solutions and all implementation constraints. ",1. Ensure inclusion of information security requirements when analysing gaps and selecting solutions for the enterprise. ,IM,,,
APO03.04 Define architecture implementation. ,Create a viable implementation and migration plan in alignment with the programme and project portfolios. Ensure that the plan is closely co-ordinated to ensure that value is delivered and the required resources are available to complete the necessary work. ,1. Align information security and IT architecture. ,IT,,,
APO03.05 Provide enterprise architecture services. ,"The provision of enterprise architecture services within the enterprise includes guidance to and monitoring of implementation projects, formalising ways of working through architecture contracts, and measuring and communicating architecture’s value-add and compliance monitoring. ",1. Develop information security standards and design patterns in support of the enterprise architecture. ,ISO2,,,
APO03.05 Provide enterprise architecture services. ,"The provision of enterprise architecture services within the enterprise includes guidance to and monitoring of implementation projects, formalising ways of working through architecture contracts, and measuring and communicating architecture’s value-add and compliance monitoring. ",2. Ensure that any technology acquisitions and business change activities include information security reviews to confirm that information security requirements are met. ,IT,,,
APO04.01 Create an environment conducive to innovation.,"Create an environment that is conducive to innovation, considering issues such as culture, reward, collaboration, technology forums, and mechanisms to promote and capture employee ideas. ",1. Maintain information security principles and policies in support of innovation while managing information risk. ,ISO2,,,
APO04.01 Create an environment conducive to innovation.,"Create an environment that is conducive to innovation, considering issues such as culture, reward, collaboration, technology forums, and mechanisms to promote and capture employee ideas. ",2. Establish connections to research and other security advisory services. ,ISO2,,,
APO04.02 Maintain an understanding of the enterprise environment.,Work with relevant stakeholders to understand their challenges. Maintain an adequate understanding of enterprise strategy and the competitive environment or other constraints so that opportunities enabled by new technologies can be identified. ,1. Maintain an understanding of information security drivers to identify opportunities and limitations of technological innovation. ,ISO2,,,
APO04.02 Maintain an understanding of the enterprise environment.,Work with relevant stakeholders to understand their challenges. Maintain an adequate understanding of enterprise strategy and the competitive environment or other constraints so that opportunities enabled by new technologies can be identified. ,"2. Determine the effects and impact of innovations on technology, the environment and information security. ",IT,,,
APO04.03 Monitor and scan the technology environment.,"Perform systematic monitoring and scanning of the enterprise’s external environment to identify emerging technologies that have the potential to create value (e.g., by realising the enterprise strategy, optimising costs, avoiding obsolescence, and better enabling enterprise and IT processes). Monitor the marketplace, competitive landscape, industry sectors, and legal and regulatory trends to be able to analyse emerging technologies or innovation ideas in the enterprise context. ",1. Perform research and scan the external environment to identify emerging trends in information security. ,ISO1,,,
APO04.03 Monitor and scan the technology environment.,"Perform systematic monitoring and scanning of the enterprise’s external environment to identify emerging technologies that have the potential to create value (e.g., by realising the enterprise strategy, optimising costs, avoiding obsolescence, and better enabling enterprise and IT processes). Monitor the marketplace, competitive landscape, industry sectors, and legal and regulatory trends to be able to analyse emerging technologies or innovation ideas in the enterprise context. ",2. Encourage stakeholder feedback on information security innovation. ,ISO2,,,
APO04.04 Assess the potential of emerging technologies and innovation ideas.,Analyse identified emerging technologies and/or other IT innovation suggestions. Work with stakeholders to validate assumptions on the potential of new technologies and innovation. ,1. Evaluate identified innovations based on information security drivers. ,IT,,,
APO04.04 Assess the potential of emerging technologies and innovation ideas.,Analyse identified emerging technologies and/or other IT innovation suggestions. Work with stakeholders to validate assumptions on the potential of new technologies and innovation. ,2. Assist proof-of-concept activities for innovation initiatives to ensure coverage of information security requirements. Evaluate compliance to these requirements. ,ISO2,,,
APO04.05 Recommend appropriate further initiatives.,"Evaluate and monitor the results of proof-of-concept initiatives and, if favourable, generate recommendations for further initiatives and gain stakeholder support. ",1. Provide information security advice based on the proof-of-concept results of IT innovation initiatives. ,ISO1,,,
APO04.06 Monitor the implementation and use of innovation.,"Monitor the implementation and use of emerging technologies and innovations during integration, adoption and for the full economic life cycle to ensure that the promised benefits are realised and to identify lessons learned. ",1. Measure security benefits and risk during proof-of-concept and other innovation activities. ,ISO2,,,
APO05.01 Establish the target investment mix. ,"Review and ensure clarity of the enterprise and IT strategies and current services. Define an appropriate investment mix based on cost, alignment with strategy, and financial measures such as cost and expected ROI over the full economic life cycle, degree of risk, and type of benefit, for the programmes in the portfolio. Adjust the enterprise and IT strategies where necessary. ","1. Develop the information security target investment mix, taking into account enterprise risk, financial and non-financial benefits, and potential return on the initiatives. ",RM,,,
APO05.02 Determine the availability and sources of funds.,"Determine potential sources of funds, different funding options and the implications of the funding source on the investment return expectations. ",1. Review internal and external possibilities to cover the required information security resources. ,IAD,,,
APO05.03 Evaluate and select programmes to fund. ,"Based on the overall investment portfolio mix requirements, evaluate and prioritise programme business cases, and decide on investment proposals. Allocate funds and initiate programmes. ",1. Ensure the existence of an information security programme. ,IAD,,,
"APO05.04 Monitor, optimise and report on investment portfolio performance.","On a regular basis, monitor and optimise the performance of the investment portfolio and individual programmes throughout the entire investment life cycle. ",,,,,
APO05.05 Maintain portfolios. ,"Maintain portfolios of investment programmes and projects, IT services and IT assets. ",,,,,
APO05.06 Manage benefits achievement. ,"Monitor the benefits of providing and maintaining appropriate IT services and capabilities, based on the agreed-on and current business case. ","1. Provide input on the achievement of confidentiality, integrity and availability of information to perform benefits achievement management. ",RM,,,
APO05.06 Manage benefits achievement. ,"Monitor the benefits of providing and maintaining appropriate IT services and capabilities, based on the agreed-on and current business case. ","2. To illustrate benefits achievement, assess the changes in the information security risk profile. ",RM,,,
APO06.01 Manage finance and accounting. ,"Establish and maintain a method to account for all IT-related costs, investments and depreciation as an integral part of the enterprise financial systems and chart of accounts to manage the investments and costs of IT. Capture and allocate actual costs, analyse variances between forecasts and actual costs, and report using the enterprise’s financial measurement systems. ",,,,,
APO06.02 Prioritise resource allocation. ,"Implement a decision-making process to prioritise the allocation of resources and rules for discretionary investments by individual business units. Include the potential use of external service providers and consider the buy, develop and rent options. ",1. Ensure that the criteria for prioritisation in accordance with the information risk profile are taken into account when prioritising resource allocations. ,IT,,,
APO06.03 Create and maintain budgets. ,Prepare a budget reflecting the investment priorities supporting strategic objectives based on the portfolio of IT-enabled programmes and IT services. ,1. Develop an information security budget. ,ISO2,,,
APO06.04 Model and allocate costs. ,"Establish and use an IT costing model based on the service definition, ensuring that allocation of costs for services is identifiable, measurable and predictable, to encourage the responsible use of resources including those provided by service providers. Regularly review and benchmark the appropriateness of the cost/chargeback model to maintain its relevance and appropriateness to the evolving business and IT activities. ",,,,,
APO06.05 Manage costs. ,"Implement a cost management process comparing actual costs to budgets. Costs should be monitored and reported and, in case of deviations, identified in a timely manner and their impact on enterprise processes and services assessed. ",,,,,
APO07.01 Maintain adequate and appropriate staffing.,Evaluate staffing requirements on a regular basis or upon major changes to the enterprise or operational or IT environments to ensure that the enterprise has sufficient human resources to support enterprise goals and objectives. Staffing includes both internal and external resources. ,"1. Ensure that information security requirements in the HR staffing process are incorporated in the IT recruitment process for employees, contractors and vendors. ",HR,,,
APO07.02 Identify key IT personnel. ,"Identify key IT personnel while minimising reliance on a single individual performing a critical job function through knowledge capture (documentation), knowledge sharing, succession planning and staff backup. ",1. Ensure the segregation of duties in critical positions. ,ISO1,,,
APO07.03 Maintain the skills and competencies of personnel.,"Define and manage the skills and competencies required of personnel. Regularly verify that personnel have the competencies to fulfil their roles on the basis of their education, training and/or experience, and verify that these competencies are being maintained, using qualification and certification programmes where appropriate. Provide employees with ongoing learning and opportunities to maintain their knowledge, skills and competencies at a level required to achieve enterprise goals. ",1. Provide professional development training and programmes on information security. ,HR,,,
