Area,Domain,Objective ID,Objective,Objective Description,Objective Purpose Statement,Practice ID,Practice Name,Practice Description
Governance,"Evaluate, Direct and Monitor",EDM04,Ensured Resource Optimization,"Ensure that adequate and sufficient business and I&T-related resources (people, process and technology) are available to support enterprise objectives effectively and, at optimal cost.","Ensure that the resource needs of the enterprise are met in the optimal manner, I&T costs are optimized, and there is an increased likelihood of benefit realization and readiness for future change.",EDM04.01,Evaluate resource management.,"Continually examine and evaluate the current and future need for business and I&T resources (financial and human), options for resourcing (including sourcing strategies), and allocation and management principles to meet the needs of the enterprise in the optimal manner."
,,,,,,EDM04.02,Direct resource management.,Ensure the adoption of resource management principles to enable optimal use of business and I&T resources throughout their full economic life cycle.
,,,,,,EDM04.03,Monitor resource management.,"Monitor the key goals and metrics of the resource management processes. Determine how deviations or problems will be identified, tracked and reported for remediation."
Governance,"Evaluate, Direct and Monitor",EDM05,Ensured Stakeholder Engagement,"Ensure that stakeholders are identified and engaged in the I&T governance system and that enterprise I&T performance and conformance measurement and reporting are transparent, with stakeholders approving the goals and metrics and necessary remedial actions.","Ensure that stakeholders are supportive of the I&T strategy and road map, communication to stakeholders is effective and timely, and the basis for reporting is established to increase performance. Identify areas for improvement, and confirm that I&T-related objectives and strategies are in line with the enterprise’s strategy.",EDM05.01,Evaluate stakeholder engagement and reporting requirements.,"Continually examine and evaluate current and future requirements for stakeholder engagement and reporting (including reporting mandated by regulatory requirements), and communication to other stakeholders. Establish principles for engaging and communicating with stakeholders."
,,,,,,EDM05.02,"Direct stakeholder engagement, communication and reporting.","Ensure the establishment of effective stakeholder involvement, communication and reporting, including mechanisms for ensuring the quality and completeness of information, overseeing mandatory reporting, and creating a communication strategy for stakeholders."
,,,,,,EDM05.03,Monitor stakeholder engagement.,"Monitor stakeholder engagement levels and the effectiveness of stakeholder communication. Assess mechanisms for ensuring accuracy, reliability and effectiveness, and ascertain whether the requirements of different stakeholders in terms of reporting and communication are met."
Management,"Align, Plan and Organize",APO01,Managed I&T Management Framework,"Design the management system for enterprise I&T based on enterprise goals and other design factors. Based on this design, implement all required components of the management system.","Implement a consistent management approach for enterprise governance requirements to be met, covering governance components such as management processes; organizational structures; roles and responsibilities; reliable and repeatable activities; information items; policies and procedures; skills and competencies; culture and behavior; and services, infrastructure and applications",APO01.01,Design the management system for enterprise I&T.,Design a management system tailored to the needs of the enterprise. Management needs of the enterprise are defined through the use of the goals cascade and by application of design factors. Ensure the governance components are integrated and aligned with the enterprise’s governance and management philosophy and operating style.
,,,,,,APO01.02,"Communicate management objectives, direction and decisions made.",Communicate awareness and promote understanding of alignment and I&T objectives to stakeholders throughout the enterprise. Communicate at regular intervals on important I&T-related decisions and their impact for the organization.
,,,,,,APO01.03,Implement management processes (to support the achievement of governance and management objectives).,Define target process capability levels and implementation priority based on the management system design.
,,,,,,APO01.04,Define and implement the organizational structures.,"Put in place the required internal and extended organizational structures (e.g., committees) per the management system design, enabling effective and efficient decision making. Ensure that required technology and information knowledge is included in the composition of management structures."
,,,,,,APO01.05,Establish roles and responsibilities.,"Define and communicate roles and responsibilities for enterprise I&T, including authority levels, responsibilities and accountability."
,,,,,,APO01.06,Optimize the placement of the IT function.,Position the IT capabilities in the overall organizational structure to reflect the strategic importance and operational dependency of IT within the enterprise. The reporting line of the CIO and representation of IT within senior management should be commensurate with the importance of I&T within the enterprise.
,,,,,,APO01.07,Define information (data) and system ownership.,Define and maintain responsibilities for ownership of information (data) and information systems. Ensure that owners classify information and systems and protect them in line with their classification.
,,,,,,APO01.08,Define target skills and competencies.,Define the required skills and competencies to achieve relevant management objectives.
,,,,,,APO01.09,Define and communicate policies and procedures.,Put in place procedures to maintain compliance with and performance measurement of policies and other components of the control framework. Enforce the consequences of noncompliance or inadequate performance. Track trends and performance and consider these in the future design and improvement of the control framework.
,,,,,,APO01.10,"Define and implement infrastructure, services and applications to support the governance and management system.","Define and implement infrastructure, services and applications to support the governance and management system (e.g., architecture repositories, risk management system, project management tools, cost-tracking tools and incident monitoring tools)."
,,,,,,APO01.11,Manage continual improvement of the I&T management system.,"Continually improve processes and other management system components to ensure that they can deliver against governance and management objectives. Consider COBIT implementation guidance, emerging standards, compliance requirements, automation opportunities and the feedback of stakeholders."
Management,"Align, Plan and Organize",APO02,Managed Strategy,"Provide a holistic view of the current business and I&T environment, the future direction, and the initiatives required to migrate to the desired future environment. Ensure that the desired level of digitization is integral to the future direction and the I&T strategy. Assess the organization’s current digital maturity and develop a road map to close the gaps. With the business, rethink internal operations as well as customer-facing activities. Ensure focus on the transformation journey across the organization. Leverage enterprise architecture building blocks, governance components and the organization's ecosystem, including externally provided services and related capabilities, to enable reliable but agile and efficient response to strategic objectives.","Support the digital transformation strategy of the organization and deliver the desired value through a road map of incremental changes. Use a holistic I&T approach, ensuring that each initiative is clearly connected to an overarching strategy. Enable change in all different aspects of the organization, from channels and processes to data, culture, skills, operating model and incentives.",APO02.01,Understand enterprise context and direction.,"Understand the enterprise context (industry drivers, relevant regulations, basis for competition), its current way of working and its ambition level in terms of digitization."
,,,,,,APO02.02,"Assess current capabilities, performance and digital maturity of the enterprise.",Assess the performance of current I&T services and develop an understanding of current business and I&T capabilities (both internal and external). Assess current digital maturity of the enterprise and its appetite for change. 
,,,,,,APO02.03,Define target digital capabilities.,"Based on the understanding of enterprise context and direction, define the target I&T products and services and required capabilities. Consider reference standards, best practices and validated emerging technologies. "
,,,,,,APO02.04,Conduct a gap analysis.,Identify gaps between current and target environments and describe the high-level changes in the enterprise architecture.
,,,,,,APO02.05,Define the strategic plan and road map.,"Develop a holistic digital strategy, in cooperation with relevant stakeholders, and detail a road map that defines the incremental steps required to achieve the goals and objectives. Ensure focus on the transformation journey through the appointment of a person who helps spearhead the digital transformation and drives alignment between business and I&T."
,,,,,,APO02.06,Communicate the I&T strategy and direction.,"Create awareness and understanding of the business and I&T objectives and direction, as captured in the I&T strategy, through communication to appropriate stakeholders and users throughout the enterprise."
Management,"Align, Plan and Organize",APO03,Managed Enterprise Architecture,"Establish a common architecture consisting of business process, information, data, application and technology architecture layers. Create key models and practices that describe the baseline and target architectures, in line with the enterprise and I&T strategy. Define requirements for taxonomy, standards, guidelines, procedures, templates and tools, and provide a linkage for these components. Improve alignment, increase agility, improve quality of information and generate potential cost savings through initiatives such as re-use of building block components.","Represent the different building blocks that make up the enterprise and its interrelationships as well as the principles guiding their design and evolution over time, to enable a standard, responsive and efficient delivery of operational and strategic objectives.",APO03.01,Develop the enterprise architecture vision.,"The architecture vision provides a first-cut, high-level description of the baseline and target architectures, covering the business, information, data, application and technology domains. The architecture vision provides the sponsor with a key tool to sell the benefits of the proposed capabilities to stakeholders within the enterprise. The architecture vision describes how the new capabilities (in line with I&T strategy and objectives) will meet enterprise goals and strategic objectives and address stakeholder concerns when implemented."
,,,,,,APO03.02,Define reference architecture.,"The reference architecture describes the current and target architectures for the business, information, data, application and technology domains."
,,,,,,APO03.03,Select opportunities and solutions.,"Rationalize the gaps between baseline and target architectures, accounting for both business and technical perspectives, and logically group them into project work packages. Integrate the project with any related I&T-enabled investment programs to ensure that the architectural initiatives are aligned with and enable these initiatives as part of overall enterprise change. Make this a collaborative effort with key enterprise stakeholders from business and IT to assess the enterprise's transformation readiness, and identify opportunities, solutions and all implementation constraints."
,,,,,,APO03.04,Define architecture implementation.,Create a viable implementation and migration plan in alignment with the program and project portfolios. Ensure the plan is closely coordinated to deliver value and that the required resources are available to complete the necessary work.
,,,,,,APO03.05,Provide enterprise architecture services.,"Provide enterprise architecture services within the enterprise that include guidance to and monitoring of implementation projects, formalizing ways of working through architecture contracts, and measuring and communicating architecture's value and compliance monitoring."
Management,"Align, Plan and Organize",APO04,Managed Innovation,"Maintain an awareness of I&T and related service trends and monitor emerging technology trends. Proactively identify innovation opportunities and plan how to benefit from innovation in relation to business needs and the defined I&T strategy. Analyze what opportunities for business innovation or improvement  can be created by emerging technologies, services or I&T-enabled business innovation; through existing established technologies; and by business and IT process innovation. Influence strategic planning and enterprise architecture decisions.","Achieve competitive advantage, business innovation, improved customer experience, and improved operational effectiveness and efficiency by exploiting I&T developments and emerging technologies.",APO04.01,Create an environment conducive to innovation.,"Create an environment that is conducive to innovation, considering methods such as culture, reward, collaboration, technology forums, and mechanisms to promote and capture employee ideas."
,,,,,,APO04.02,Maintain an understanding of the enterprise environment.,"Work with relevant stakeholders to understand their challenges. Maintain an adequate understanding of enterprise strategy, competitive environment and other constraints, so that opportunities enabled by new technologies can be identified."
,,,,,,APO04.03,Monitor and scan the technology environment.,"Set up a technology watch process to perform systematic monitoring and scanning of the enterprise's external environment to identify emerging technologies that have the potential to create value (e.g., by realizing the enterprise strategy, optimizing costs, avoiding obsolescence, and better enabling enterprise and I&T processes). Monitor the marketplace, competitive landscape, industry sectors, and legal and regulatory trends to be able to analyze emerging technologies or innovation ideas in the enterprise context."
,,,,,,APO04.04,Assess the potential of emerging technologies and innovative ideas.,Analyze identified emerging technologies and/or other I&T innovative suggestions to understand their business potential. Work with stakeholders to validate assumptions on the potential of new technologies and innovation.
,,,,,,APO04.05,Recommend appropriate further initiatives.,"Evaluate and monitor the results of proof-of-concept initiatives and, if favorable, generate recommendations for further initiatives. Gain stakeholder support."
,,,,,,APO04.06,Monitor the implementation and use of innovation.,"Monitor the implementation and use of emerging technologies and innovations during adoption, integration and for the full economic life cycle to ensure that the promised benefits are realized and to identify lessons learned."
Management,"Align, Plan and Organize",APO05,Managed Portfolio,"Execute the strategic direction set for investments in line with the enterprise architecture vision and I&T road map. Consider the different categories of investments and the resources and funding constraints. Evaluate, prioritize and balance programs and services, managing demand within resource and funding constraints, based on their alignment with strategic objectives, enterprise worth and risk. Move selected programs into the active products or services portfolio for execution. Monitor the performance of the overall portfolio of products and services and programs, proposing adjustments as necessary in response to program, product or service performance or changing enterprise priorities.","Optimize the performance of the overall portfolio of programs in response to individual program, product and service performance and changing enterprise priorities and demand.",APO05.01,Determine the availability and sources of funds.,"Determine potential sources of funds, different funding options and the implications of the funding source on the investment return expectations."
,,,,,,APO05.02,Evaluate and select programs to fund.,"Based on requirements for the overall investment portfolio mix and the I&T strategic plan and road map, evaluate and prioritize program business cases and decide on investment proposals. Allocate funds and initiate programs."
,,,,,,APO05.03,"Monitor, optimize and report on investment portfolio performance.","On a regular basis, monitor and optimize the performance of the investment portfolio and individual programs throughout the entire investment life cycle. Ensure continuous follow-up on the alignment of the portfolio with I&T strategy."
,,,,,,APO05.04,Maintain portfolios.,"Maintain portfolios of investment programs and projects, I&T products and services, and I&T assets."
,,,,,,APO05.05,Manage benefits achievement.,"Monitor the benefits of providing and maintaining appropriate I&T products, services and capabilities, based on the agreed and current business case."
Management,"Align, Plan and Organize",APO06,Managed Budget and Costs,"Manage the I&T-related financial activities in both the business and IT functions, covering budget, cost and benefit management and prioritization of spending through the use of formal budgeting practices and a fair and equitable system of allocating costs to the enterprise. Consult stakeholders to identify and control the total costs and benefits within the context of the I&T strategic and tactical plans. Initiate corrective action where needed.",Foster a partnership between IT and enterprise stakeholders to enable the effective and efficient use of I&T-related resources and provide transparency and accountability of the cost and business value of solutions and services. Enable the enterprise to make informed decisions regarding the use of I&T solutions and services.,APO06.01,Manage finance and accounting.,"Establish and maintain a method to manage and account for all I&T-related costs, investments and depreciation as an integral part of enterprise financial systems and accounts. Report using the enterprise’s financial measurement systems."
,,,,,,APO06.02,Prioritize resource allocation.,"Implement a decision-making process to prioritize the allocation of resources and establish rules for discretionary investments by individual business units. Include the potential use of external service providers and consider the buy, develop and rent options."
,,,,,,APO06.03,Create and maintain budgets.,Prepare a budget reflecting investment priorities based on the portfolio of I&T-enabled programs and I&T services.
,,,,,,APO06.04,Model and allocate costs.,"Establish and use an I&T costing model based, for example, on the service definition. This approach ensures that allocation of costs for services is identifiable, measurable and predictable, and encourages the responsible use of resources, including those provided by service providers. Regularly review and benchmark the cost/chargeback model to maintain its relevance and appropriateness for evolving business and IT activities."
,,,,,,APO06.05,Manage costs.,Implement a cost management process that compares actual costs against budget. Costs should be monitored and reported. Deviations from budget should be identified in a timely manner and their impact on enterprise processes and services assessed.
Management,"Align, Plan and Organize",APO07,Managed Human Resources,"Provide a structured approach to ensure optimal recruitment/acquisition, planning, evaluation and development of human resources (both internal and external).",Optimize human resources capabilities to meet enterprise objectives.,APO07.01,Acquire and maintain adequate and appropriate staffing.,"Establish and maintain a method to manage and account for all I&T-related costs, investments and depreciation as an integral part of the enterprise financial systems and accounts. Report using the enterprise’s financial measurement systems."
,,,,,,APO07.02,Identify key IT personnel.,"Identify key IT personnel. Use knowledge capture (documentation), knowledge sharing, succession planning and staff backup to minimize reliance on a single individual performing a critical job function."
,,,,,,APO07.03,Maintain the skills and competencies of personnel.,"Define and manage the skills and competencies required of personnel. Regularly verify that personnel have the competencies to fulfill their roles on the basis of their education, training and/or experience. Verify that these competencies are being maintained, using qualification and certification programs where appropriate. Provide employees with ongoing learning and opportunities to maintain their knowledge, skills and competencies at a level required to achieve enterprise goals."
,,,,,,APO07.04,Assess and recognize/reward employee job performance.,"Conduct timely, regular performance evaluations against individual objectives derived from enterprise goals, established standards, specific job responsibilities, and the skills and competency framework. Implement a remuneration/recognition process that rewards successful attainment of performance goals."
,,,,,,APO07.05,Plan and track the usage of IT and business human resources.,"Understand and track the current and future demand for business and IT human resources with responsibilities for enterprise I&T. Identify shortfalls and provide input into sourcing plans, enterprise and IT recruitment processes, and business and IT recruitment processes."
,,,,,,APO07.06,Manage contract staff.,Ensure that consultants and contract personnel who support the enterprise with I&T skills know and comply with the organization's policies and meet agreed contractual requirements.
Management,"Align, Plan and Organize",APO08,Managed Relationships,"Manage relationships with business stakeholders in a formalized and transparent way that ensures mutual trust and a combined focus on achieving the strategic goals within the constraints of budgets and risk tolerance. Base relationships on open and transparent communication, a common language, and the willingness to take ownership and accountability for key decisions on both sides. Business and IT must work together to create successful enterprise outcomes in support of the enterprise objectives.","Enable the right knowledge, skills and behaviors to create improved outcomes, increased confidence, mutual trust and effective use of resources that stimulate a productive relationship with business stakeholders.",APO08.01,Understand business expectations.,"Understand current business issues, objectives and expectations for I&T. Ensure that requirements are understood, managed and communicated, and their status agreed and approved."
,,,,,,APO08.02,Align I&T strategy with business expectations and identify opportunities for IT to enhance the business.,Align I&T strategies with current business objectives and expectations to enable IT to be a value-add partner for the business and a governance component for enhanced enterprise performance.
,,,,,,APO08.03,Manage the business relationship.,"Manage the relationship between the IT service organization and its business partners. Ensure that relationship roles and responsibilities are defined and assigned, and communication is facilitated."
,,,,,,APO08.04,Coordinate and communicate.,Work with all relevant stakeholders and coordinate the end-to-end delivery of I&T services and solutions provided to the business.
,,,,,,APO08.05,Provide input to the continual improvement of services.,Continually improve and evolve I&T-enabled services and service delivery to the enterprise to align with changing enterprise objectives and technology requirements.
Management,"Align, Plan and Organize",APO09,Managed Service Agreements,"Align I&T-enabled products and services and service levels with enterprise needs and expectations, including identification, specification, design, publishing, agreement, and monitoring of I&T products and services, service levels and performance indicators.","Ensure that I&T products, services and service levels meet current and future enterprise needs.",APO09.01,Identify I&T services.,Analyze business requirements and the degree to which I&T-enabled services and service levels support business processes. Discuss and agree with the business on potential services and service levels. Compare potential service levels against the current service portfolio; identify new or changed services or service level options.
,,,,,,APO09.02,Catalog I&T-enabled services.,Define and maintain one or more service catalogues for relevant target groups. Publish and maintain live I&T-enabled services in the service catalogs.
,,,,,,APO09.03,Define and prepare service agreements.,Define and prepare service agreements based on options in the service catalogues. Include internal operational agreements.
,,,,,,APO09.04,Monitor and report service levels.,"Monitor service levels, report on achievements and identify trends. Provide the appropriate management information to aid performance management."
,,,,,,APO09.05,Review service agreements and contracts.,Conduct periodic reviews of the service agreements and revise when needed.
Management,"Align, Plan and Organize",APO10,Managed Vendors,"Manage I&T-related products and services provided by all types of vendors to meet enterprise requirements. This includes the search for and selection of vendors, management of relationships, management of contracts, and reviewing and monitoring of vendor performance and vendor ecosystem (including upstream supply chain) for effectiveness and compliance.","Optimize available I&T capabilities to support the I&T strategy and road map, minimize the risk associated with nonperforming or noncompliant vendors, and ensure competitive pricing.",APO10.01,Identify and evaluate vendor relationships and contracts.,"Continuously search for and identify vendors and categorize them into type, significance and criticality. Establish criteria to evaluate vendors and contracts. Review the overall portfolio of existing and alternative vendors and contracts."
,,,,,,APO10.02,Select vendors.,Select suppliers according to a fair and formal practice to ensure a viable best fit based on specified requirements. Requirements should be optimized with input from potential suppliers.
,,,,,,APO10.03,Manage vendor relationships and contracts.,"Formalize and manage the supplier relationship for each supplier. Manage, maintain and monitor contracts and service delivery. Ensure that new or changed contracts conform to enterprise standards and legal and regulatory requirements. Deal with contractual disputes."
,,,,,,APO10.04,Manage vendor risk.,"Identify and manage risk relating to vendors' ability to continually provide secure, efficient and effective service delivery. This also includes the subcontractors or upstream vendors that are relevant in the service delivery of the direct vendor. "
,,,,,,APO10.05,Monitor vendor performance and compliance.,"Periodically review overall vendor performance, compliance to contract requirements and value for money. Address identified issues."
Management,"Align, Plan and Organize",APO11,Managed Quality,"Define and communicate quality requirements in all processes, procedures and related enterprise outcomes. Enable controls, ongoing monitoring, and the use of proven practices and standards in continuous improvement and efficiency efforts.",Ensure consistent delivery of technology solutions and services to meet the quality requirements of the enterprise and satisfy stakeholder needs.,APO11.01,Establish a quality management system (QMS).,"Establish and maintain a quality management system (QMS) that provides a standard, formal and continuous approach to quality management of information. The QMS should enable technology and business processes to align with business requirements and enterprise quality management."
,,,,,,APO11.02,Focus quality management on customers.,Focus quality management on customers by determining their requirements and ensuring integration in quality management practices.
,,,,,,APO11.03,"Manage quality standards, practices and procedures and integrate quality management into key processes and solutions.","Identify and maintain standards, procedures and practices for key processes to guide the enterprise in meeting the intent of the agreed quality management standards (QMS). This activity should align with I&T control framework requirements. Consider certification for key processes, organizational units, products or services."
,,,,,,APO11.04,"Perform quality monitoring, control and reviews.","Monitor the quality of processes and services on an ongoing basis, in line with quality management standards. Define, plan and implement measurements to monitor customer satisfaction with quality as well as the value provided by the quality management system (QMS). The information gathered should be used by the process owner to improve quality."
,,,,,,APO11.05,Maintain continuous improvement.,"Maintain and regularly communicate an overall quality plan that promotes continuous improvement. The plan should define the need for, and benefits of, continuous improvement. Collect and analyze data about the quality management system (QMS) and improve its effectiveness. Correct nonconformities to prevent recurrence."
Management,"Align, Plan and Organize",APO12,Managed Risk,"Continually identify, assess and reduce I&T-related risk within tolerance levels set by enterprise executive management.",Integrate the management of I&T-related enterprise risk with overall enterprise risk management (ERM) and balance the costs and benefits of managing I&T-related enterprise risk.,APO12.01,Collect data.,"Identify and collect relevant data to enable effective I&T-related risk identification, analysis and reporting."
,,,,,,APO12.02,Analyze risk.,"Develop a substantiated view on actual I&T risk, in support of risk decisions."
,,,,,,APO12.03,Maintain a risk profile.,"Maintain an inventory of known risk and risk attributes, including expected frequency, potential impact and responses. Document related resources, capabilities and current control activities related to risk items."
,,,,,,APO12.04,Articulate risk.,Communicate information on the current state of I&T-related exposures and opportunities in a timely manner to all required stakeholders for appropriate response.
,,,,,,APO12.05,Define a risk management action portfolio.,Manage opportunities to reduce risk to an acceptable level as a portfolio.
,,,,,,APO12.06,Respond to risk.,Respond in a timely manner to materialized risk events with effective measures to limit the magnitude of loss.
Management,"Align, Plan and Organize",APO13,Managed Security,"Define, operate and monitor a system for information security and privacy management.",Keep the impact and occurrence of information security and privacy incidents within the enterprise’s risk appetite levels.,APO13.01,Establish and maintain an information security management system (ISMS).,"Establish and maintain an information security management system (ISMS) that provides a standard, formal and continuous approach to security and privacy management for information. Ensure that the system supports secure technology and business processes that are aligned with business requirements, enterprise security and enterprise privacy management."
,,,,,,APO13.02,Define and manage an information security risk treatment plan.,"Maintain an information security plan that describes how information security risk is to be managed and aligned with enterprise strategy and architecture. Ensure that recommendations for implementing security improvements are based on approved business cases, implemented as an integral part of services and solutions development, and operated as an integral part of business operation."
,,,,,,APO13.03,Monitor and review the information security management system (ISMS).,"Maintain and regularly communicate the need for, and benefits of, continuous improvement in information security. Collect and analyze data about the information security management system (ISMS), and improve its effectiveness. Correct nonconformities to prevent recurrence."
Management,"Align, Plan and Organize",APO14,Managed Data,"Achieve and sustain effective management of the enterprise data assets across the data life cycle, from creation through delivery, maintenance and archiving.",Ensure effective utilization of the critical data assets to achieve enterprise goals and objectives.,APO14.01,Define and communicate the organization's data management strategy and roles and responsibilities.,"Define how to manage and improve the organization's data assets, in line with enterprise strategy and objectives. Communicate the data management strategy to all stakeholders. Assign roles and responsibilities to ensure that corporate data are managed as critical assets and the data management strategy is implemented and maintained in an effective and sustainable manner."
,,,,,,APO14.02,Define and maintain a consistent business glossary.,"Create, approve, update and promote consistent business terms and definitions to foster shared data usage across the organization."
,,,,,,APO14.03,Establish the processes and infrastructure for metadata management.,"Establish the processes and infrastructure for specifying and extending metadata about the organization's data assets, fostering and supporting data sharing, ensuring compliant use of data, improving responsiveness to business changes and reducing data-related risk."
,,,,,,APO14.04,Define a data quality strategy.,"Define an integrated, organizationwide strategy to achieve and maintain the level of data quality (such as complexity, integrity, accuracy, completeness, validity, traceability and timeliness) required to support the business goals and objectives."
,,,,,,APO14.05,"Establish data profiling methodologies, processes and tools.","Implement standardized data profiling methodologies, processes, practices, tools and templates that can be applied across multiple data repositories and data stores."
,,,,,,APO14.06,Ensure a data quality assessment approach.,"Provide a systematic approach to measure and evaluate data quality according to processes and techniques, and against data quality rules."
,,,,,,APO14.07,Define the data cleansing approach.,"Define the mechanisms, rules, processes, and methods to validate and correct data according to predefined business rules."
,,,,,,APO14.08,Manage the life cycle of data assets.,"Ensure that the organization understands, maps, inventories and controls its data flows through business processes over the data life cycle, from creation or acquisition to retirement."
,,,,,,APO14.09,Support data archiving and retention.,Ensure that data maintenance satisfies organizational and regulatory requirements for availability of historical data. Ensure that legal and regulatory requirements for data archiving and retention are met.
,,,,,,APO14.10,Manage data backup and restore arrangements.,Manage availability of critical data to ensure operational continuity.
Management,"Build, Acquire and Implement",BAI01,Managed Programs,"Manage all programs from the investment portfolio in alignment with enterprise strategy and in a coordinated way, based on a standard program management approach. Initiate, plan, control, and execute programs, and monitor expected value from the program.","Realize desired business value and reduce the risk of unexpected delays, costs and value erosion. To do so, improve communications to and involvement of business and end users, ensure the value and quality of program deliverables and follow up of projects within the programs, and maximize program contribution to the investment portfolio.",BAI01.01,Maintain a standard approach for program management.,"Maintain a standard approach for program management that enables governance and management review, decision-making and delivery-management activities. These activities should focus consistently on business value and goals (i.e., requirements, risk, costs, schedule and quality targets)."
,,,,,,BAI01.02,Initiate a program.,"Initiate a program to confirm expected benefits and obtain authorization to proceed. This includes agreeing on program sponsorship, confirming the program mandate through approval of the conceptual business case, appointing program board or committee members, producing the program brief, reviewing and updating the business case, developing a benefits realization plan, and obtaining approval from sponsors to proceed."
,,,,,,BAI01.03,Manage stakeholder engagement.,"Manage stakeholder engagement to ensure an active exchange of accurate, consistent and timely information for all relevant stakeholders. This includes planning, identifying and engaging stakeholders and managing their expectations."
,,,,,,BAI01.04,Develop and maintain the program plan.,"Formulate a program to lay the initial groundwork. Position it for successful execution by formalizing the scope of the work and identifying deliverables that will satisfy goals and deliver value. Maintain and update the program plan and business case throughout the full economic life cycle of the program, ensuring alignment with strategic objectives and reflecting the current status and insights gained to date."
,,,,,,BAI01.05,Launch and execute the program.,"Launch and execute the program to acquire and direct the resources needed to accomplish the goals and benefits of the program as defined in the program plan. In accordance with stage-gate or release review criteria, prepare for stage-gate, iteration or release reviews to report progress and make the case for funding up to the following stage-gate or release review."
,,,,,,BAI01.06,"Monitor, control and report on the program outcomes.","Monitor and control performance against plan throughout the full economic life cycle of the investment, covering solution delivery at the program level and value/outcome at the enterprise level. Report performance to the program steering committee and the sponsors."
,,,,,,BAI01.07,Manage program quality.,"Prepare and execute a quality management plan, processes and practices that align with quality management standards (QMS). Describe the approach to program quality and implementation. The plan should be formally reviewed and agreed on by all parties concerned and incorporated into the integrated program plan."
,,,,,,BAI01.08,Manage program risk.,"Eliminate or minimize specific risk associated with programs through a systematic process of planning, identifying, analyzing, responding to, monitoring and controlling the areas or events with the potential to cause unwanted change. Define and record any risk faced by program management."
,,,,,,BAI01.09,Close a program.,Remove the program from the active investment portfolio when there is agreement that the desired value has been achieved or when it is clear it will not be achieved within the value criteria set for the program.
