Title,Category,Reference,Risk_scenario,Threat_type,Actor,Event,Asset/Resource(Cause),Asset/Resource(Effect),Time,IT_benefit/value_enablement,IT_programme_and_project_delivery,IT_operations_and_service_delivery,RiskAvoidance,RiskAcceptance,RiskSharing/Transfer,RiskMitigation
,03 IT investment decision making ,0301,,,,,,,,P,,S,,,,
Niche software construction,03 IT investment decision making ,0302,"A specialized niche market company with many decades of experience and research offers state-of-the-art solutions that are commonly accepted in the market.
Disregarding this fact, a client with an internal development department and staff, but without the necessary maturity in its processes for the software development life cycle (SDLC) and its Quality Assurance (QA) department, decides to build its own solution. The client does not consider the advantage of purchasing this software over developing the solution internally and is without a real understanding of business and compliance requirements.","The nature of the event is a failure of the process
BAI03 Manage solutions identification and build, but also could be classified as accidental/error because an external solution was not considered.","The actors that generates the threat that exploits a vulnerability are
internal—the Steering (Programme/Projects) Committee and the chief information officer (CIO).","The event can be classified as ineffective design
and/or ineffective execution of the process BAI03 Manage solutions identification and build.","The asset/resource that leads to the business impact is the process
BAI03 Manage solutions identification and build.","The affected resources/assets are business processes, information and applications because
the internally developed solution does not fit the business and compliance requirements due to a lack of understanding.","The timing of occurrence is critical because competitors already use solutions that fulfil the compliance requirements.
The duration of the event is extended because the internally developed solution must be amended to fit business and compliance requirements. The detection is slow because the internally developed solution is misaligned with business and compliance requirements, which is not detected before final acceptance tests or before the implementation is in production. The consequences are delayed because the internally developed solution must be improved or the external solution must be implemented.",P,,S,N/A,"The enterprise accepts that the costs derived from internal development are going to be higher due to the time needed to
understand and develop the SDLC and QA processes and governance framework. The company also accepts the risk that its competitors may gain a competitive advantage by the early adoption of a package solution while the company designs and builds its own solution. The company also accepts the risk of penalties imposed by its regulators for non-compliance.",N/A,"Develop and maintain a standard approach for program and project
management and for solution identification and build."
Infrastructure platform upgrade,03 IT investment decision making ,0303,"A large enterprise needs to update its branches’ mission-critical software to enhance its functionality with new business functions that are needed to obtain higher revenues. The company knows in advance that this software update needs a critical upgrade on the branches’ IT infrastructures because the new software will not work with the current version.
The components of the branches’ IT infrastructures are diverse and require many providers to build the complete architecture. After the request for proposal (RFP) is constructed, the company does not consider the different schedules that each provider needs to deliver the required hardware. When the procurement process is initiated, the company finds out that a specific component cannot be provided, which hinders the entire infrastructure implementation.","The nature of the event is a failure of the managemen
processes BAI03 Manage solutions identification and build, BAI02 Manage requirements definition and APO03 Manage enterprise architecture and is a failure of the governance process EDM02 Ensure benefits delivery.","The actors that generate the threat that exploits a vulnerability are
internal—overall, the Steering (Program/Projects) Committee and also the chief information officer (CIO) and the head architect.","The event can be classified as ineffective design
and/or ineffective execution of the processes EDM02 Ensure benefits delivery, BAI03 Manage solutions identification and build, BAI02 Manage requirements definition and APO03 Manage enterprise architecture.","The asset/resource that leads to the business impact is the process BAI03
Manage solutions identification and build.","The affected resources/assets are business processes, information, infrastructure and
applications because the company cannot update its branches’ mission-critical systems, and people and enterprise because they must work with the out-of-date applications.","Because the company needs the new systems for its branches to create higher revenues, the timing of occurrence is critical. The duration of the event is extended because the infrastructure implementation is hindered. The detection is moderate because the event is detected during the procurement process. The consequences are delayed because the company has to continue its business while using the incorrect IT architecture, with accumulated high costs, over a time span of several years.",P,,P,N/A,"The enterprise accepts and tolerates the inflexible architecture, does not achieve higher revenues and loses
business competitiveness.",N/A,"The enterprise considers alternative providers to deliver the required piece of hardware. Additional contracts will be considered, and
the time losses and cost of opportunity will be accepted. The program of work is re-prioritized to ensure that the prerequisites are completed, to allow for success. The governance framework for the infrastructure upgrades process must be followed and department managers must be trained."
Purchase of redundant software,03 IT investment decision making ,0304,"An enterprise purchases redundant software for a key business area. This software is a competing software to software that was purchased previously and is in production. The new software was purchased without reference to procurement because the purchase was within the person’s budgetary signature approval process and was for use within the department, for the duration.
This particular purchase represented a lack of conformance with organizational processes and policies. The system was not considered in the enterprise architecture (EA) and, therefore, lacked interoperability with other systems and software, and its functionality overlapped with other business functions.
The software was purchased by a key business user, and, because the procurement process was immature, the software was not included in the enterprise strategy for business continuity and disaster recovery planning.
The new purchase required additional training for the department and investment and integration with existing systems.","The nature of the event is a failure of the processes
APO04 Manage innovation, APO05 Manage portfolio, APO06 Manage budget and cost and BAI10 Manage configuration.","The actors that generate the threat that exploits a vulnerability are
internal—overall, the Steering (Program/Projects) Committee, and also the key business user who purchased the software.","The event can be classified as ineffective design
and/or ineffective execution of the processes APO04 Manage innovation, APO05 Manage portfolio, APO06 Manage budget and cost and BAI10 Manage configuration.","The assets/resources that lead to the business impact are mainly the
processes APO04 Manage innovation and BAI10 Manage configuration.","The affected resources/assets are business processes, information, infrastructure and
applications because the new software lacks interoperability with other systems, and people and enterprise because they must use workarounds.","The timing of occurrence is noncritical. The duration is extended, due to the cost associated with this inappropriate
purchase and the overburden that the company had to experience to guarantee interoperability with existing systems. The detection is slow because the redundancy was not detected before the system was ready to use. The time lag is immediate because of the immature procurement process.",P,P,,N/A,N/A,N/A,"Train all department heads on a centralized software catalogue for the enterprise. Governance frameworks for the software
procurement process must be improved to be mature and they must be followed. The department managers will be trained. All software purchases have to be added to the business continuity (BCP) and disaster recovery plan (DRP)."
Human resources hiring policies,04 IT expertise and skills ,0401,"The Human Resources (HR) department has strict general regulations regarding the maximum age for internal staff recruitment. This particular issue is affecting technical areas that need to raise that limit to ensure that the right expertise and skills are present in new personnel, due to the technologies (new and old) that continue to be in use and are relied on in the enterprise architecture (EA).
Currently, the enterprise is expecting that, in the next five years, 35 percent of its specialized professionals are going to retire. The minimum standard knowledge that is required is the base to start next-level internal training. Due to the complexity of the systems in production, the training process for new staff to get the necessary expertise to be able to run the daily operations historically has taken three years.","The nature of the event is a failure of the process
APO07 Manage human resources, especially the management practices of maintaining adequate and appropriate staffing and maintaining the skills and competencies of personnel.","The actor that generates the threat that exploits a vulnerability is
internal—the HR function.","The event is an ineffective design of the process
APO07 Manage human resources.",The resource that leads to the business impact is the process APO07 Manage human resources.,"The resources that are affected are the IT processes in the technical area because of a lack of
competent staff, and the IT architecture (information and applications) because it cannot be maintained and improved adequately due to the lack of expertise and skills.","The duration of the event is moderate because the policy can easily be changed. The timing of occurrence is 
noncritical. The lack of skills and expertise will be detected in moderate time. The consequence can easily be delayed because the right staff has to be recruited, and this process can take quite a long time. ",P,P,P,N/A,"The enterprise accepts the risk that it may be unable to recruit the right skills and experience, which will limit the enterprise’s
ability to design, build and deliver IT solutions to help deliver business goals. In addition, the enterprise may have to pay a premium for potential recruits with the required skills and experience.",HR and IT are to share their responsibilities for the risk that the enterprise is taking by being unable to hire the right personnel.,IT can outsource and use contractors to cover critical skills shortages.
,04 IT expertise and skills ,0402,,,,,,,,P,P,P,,,,
Ineffective leadership skills,04 IT expertise and skills ,0403,"The chief information officer (CIO) of a large enterprise has a strong technical operations background; however, he does not
communicate regularly with other business unit managers. He lacks business acumen and, therefore, he does not communicate the business understanding to his staff, nor does he keep the necessary alignment required for IT governance.","The nature of the event is a failure of the process APO01
Manage the IT management framework, particularly a failure of communication of management objectives and direction.","The actor that generates the threat that exploits a vulnerability is
internal—the CIO.","The event is an ineffective execution of the process
APO01 Manage the IT management framework, but can also eventually be an ineffective design of the organizational structure.",The assets/resources that lead to the business impact are the process APO01 Manage the IT management framework and also the organizational structure.,"The resources that are affected are business processes because the IT staff does not know
about or does not understand the needs from the business. IT personnel are also affected as they are unsatisfied because they cannot provide the solution and services expected from them.","The duration of the event is extended because it is not expected that the CIO can or will change his behavior soon.
The timing of occurrence is noncritical. The detection is moderate until the behavior of the CIO will be detected. The consequence is delayed because the CIO cannot be replaced or have his behavior changed immediately.",P,P,P,N/A,N/A,N/A,"Governance board and upper management (C-level) have to be aware of
this situation and decide who is the person for the job. "
Critical staff turnover ,04 IT expertise and skills ,0404,"A largely established software company with low personnel turnover did not take into account the necessary time to prepare
new specialized human resources personnel for its impending retirement of a large proportion of its staff. This situation primarily affects the morale of the remaining staff, due to the necessary overwork to support current operations.","The nature of the event is a failure of the process APO07
Manage human resources, especially the management practices to maintain adequate and appropriate staffing and maintain the skills and competencies of personnel.","The actor that generates the threat that exploits a vulnerability is
internal—the human resources (HR) function.","The event is an ineffective design and/or ineffective
execution of the process APO07 Manage human resources. The event is also an interruption of the development or/and maintenance of the software with which the company works. ","The resource that leads to the business impact is the process APO07
Manage human resources. ","The resources that are affected are the development and maintenance processes for the
software with which the company works.","The duration of the event is extended because new specialist staff is not easy to get. The timing of occurrence is
critical because the company cannot fulfil customer wishes, but the competitors can. The time to detect lack of skills and expertise will be slow. The consequence can easily be delayed because the right staff has to be recruited, and this process can take quite some time. ",S,P,P,N/A,N/A,Contracting external staff.,"The enterprise considers a program to retain critical staff, while transitioning to an effective staff to build a model."
,04 IT expertise and skills ,0405,,,,,,,,S,P,P,,,,
,04 IT expertise and skills ,0406,,,,,,,,S,P,P,,,,
,04 IT expertise and skills ,0407,,,,,,,,S,P,P,,,,
Pandemic disaster,04 IT expertise and skills ,0408,"A new strain of avian flu (developed in a secret lab) has occurred at a certain enterprise’s main offices. The flu strain has
infected a large number of employees of the enterprise. This has included a number of the board of directors and the majority of the key IT personnel. The business continuity program needs to be invoked immediately because governance and key IT services are disrupted due to the absence of decision makers and support staff, severely impacting business operations.","The nature of the event is the malicious act of developing
the new strain of the avian flu and its release to the environment by the secret lab.","The actor that generates the threat that exploits the vulnerability 
s the external secret lab.","The event is interruption of IT service and
business processes.","The assets/resources that lead to the business impact are the people
from the secret lab.","The assets/resources that are affected are the people and the organizational structure,
specifically, the key staff/personnel of the main offices of the company and the business processes.","The duration of the event is extended lack of key personnel because the avian-flu-affected staff will not get well
soon, if at all. The timing of occurrence is critical because it affects most of the board of directors and the C-level at the same time, meaning key personnel and their backup or deputies are not available. The detection of event can be classified as immediate because the flu-affected personnel do not show up at the offices. For the same reason, the time lag between event and consequence is immediate.",S,P,P,N/A,N/A,N/A,"The enterprise needs to update the pandemic disaster plan to guarantee
chain of command and the physical site security policy."
,04 IT expertise and skills ,0409,,,,,,,,S,P,P,,,,
Inappropriate access rights,05 Staff operations,0501,"A business user builds up inappropriate access rights over time, from performing different roles within the enterprise. This
results in the breakdown of segregation of duties, allowing the user to commit fraudulent actions. The business user sets up a new supplier, inputs a fictitious invoice and pays the invoice to an account that belongs to him.","The nature of the event is a failure of the process DSS06 
Manage business process controls, especially the management practice manage roles, responsibilities, access privileges and levels of authority. ","The actor which generates that the threat exploits the vulnerability is
internal, the business user. ","The event is an ineffective design and/or ineffective
execution of the process DSS06 Manage business process controls, which leads to access controls invoking inadequate and ineffective segregation of duties.","The asset/resource that leads to the business impact is the process DSS06
Manage business process controls.","The assets/resources that are affected are the organizational structures
(segregation of duties). ","The timing of the event is extended because the business user can fraud the company over a long period of time until the fraud will be detected. The timing of occurrence is noncritical. The event is not easily detected. Usually it is just by accident that such a fraud is uncovered and, therefore, detection is slow. The consequences are delayed because the business user has to build up the different inappropriate access rights over time, until he/she can misuse them to fraud the company.",S,S,P,N/A,N/A,N/A,Frequent review and immediate removal of inappropraite access rights.
,05 Staff operations,0502,,,,,,,,S,,P,,,,
Backup process failure,05 Staff operations,0503,"The daily backup process fails to successfully back up all data files, and the failure goes undetected. An operational problem
occurs, requiring the backup to be restored. Only then is it discovered that it is not possible to do so, requiring the last successful backup to be restored, which is more than one week old. This results in the loss of several days of processed transactions and the resulting management information. ","The nature of the event is a failure of the processes DSS01
Manage operations and DSS04 Manage continuity. The management practice that fails is to manage backup arrangements.","The actor that generates the threat that exploits a vulnerability is
internal—a failure of an internal backup process that is not detected by IT operational staff.","The event is an ineffective design and/or ineffective
execution of the processes DSS01 Manage operations and DSS04 Manage continuity. Because it is a failure of an internal backup process, the system sends an alert about the failure, but the alert is not picked up by IT operational staff. ","The assets/resources that lead to the business impact are the processes DSS01 Manage operations and DSS04 Manage continuity and people and skills, due to the IT operational staff failure to pick up the data backup failure alert.","The assets/resources that are affected are on the business processes in which the processed
transactions are lost and the management information that is also lost.","The duration of the event is extended because it takes quite some time to reprocess the business transactions.
The timing of occurrence is noncritical at the time of the failure. Detection is immediate because it is as soon as the operational staff wants to restore the backup that they discover it is not possible to do so. The time lag between event and consequence is because the backup failure may not be detected until it is required for recovery from the backup.",S,,P,N/A,N/A,N/A,Periodically test backups.
,05 Staff operations,0504,,,,,,,,S,,P,,,,
,05 Staff operations,0505,,,,,,,,S,,P,,,,
"Disclosure of client data to a
competitor",05 Staff operations,0506,"An internal member of staff, who has authorized access to sales information, makes an unauthorized copy of commercially
sensitive data. This sales representative downloads and copies the customer database to a USB drive, and then gives it to a competitor of the enterprise.","The nature of the event is a malicious action of an
employee.","The actor that generates the threat that exploits the vulnerability is
an internal member of staff, who has authorized access to sales information and makes an unauthorized copy of the information.","The event is theft and disclosure of commercial
information. ","The resource that leads to the business impact is people, the sales representative.",The asset/resource that is affected is the sensitive business/commercial information.,"The duration of the event is likely to be extended because the disclosure of commercial data can continue for a 
long period of time before it is detected. The timing of occurrence is noncritical. Because theft of data is usually only detected by accident, the event cannot be detected immediately and detection is classified as slow. The time lag between event and consequence is delayed, usually more and more customers will move to a competitor. ",S,,P,N/A,N/A,N/A,"Recruitement procedures, access controls and data loss prevention (DLP) 
controls will be implemented and/or improved"
,05 Staff operations,0507,,,,,,,,S,,P,,,,
,05 Staff operations,0508,,,,,,,,P,S,P,,,,
,05 Staff operations,0509,,,,,,,,P,S,P,,,,
,05 Staff operations,0510,,,,,,,,P,S,P,,,,
,06 Information ,0601,,,,,,,,S,,P,,,,
Uncontrolled shutdown ,06 Information ,0602,"A company that relies heavily on its e-commerce sales system is not protected by an uninterruptable power supply (UPS), 
backup generator or database management system (DBMS) transaction rollback facility. Following a power failure, the server running the e-commerce sales system does not perform a controlled shutdown, which results in the database tables becoming corrupted.","The nature of the event is a failure of the process DSS06
Manage business process controls. It is the failure of the management practice to control the processing of information and the respective activity and to maintain the integrity of data during unexpected interruptions in business processing and confirm data integrity after processing failures. ","Not every type of threat requires an actor, e.g., failures of equipment
or natural causes. This event is a clear failure of equipment (UPS) or the procedure ‘controlled shutdown’ and there is no actor for this event.","The event is an either an ineffective design or an
ineffective execution of a process or operational procedure (system shutdown). However, the event can also be classified as destruction of the database. ",The asset that leads to the business impact is the infrastructure (power supply).,"The asset/resource that is affected is information, the corrupted database.","The duration of the event is extended because the database stays corrupted and has to be recovered from the
backups. The time of occurrence of the event (power failure) is critical because, at that time, the equipment was not in a state to perform a controlled shutdown. The detection is immediate because the lack of integrity of the database is discovered immediately after the restart of the systems. The time lag between event and consequence is immediate because the database is corrupted directly by the event (uncontrolled shutdown).",S,S,P,N/A,N/A,N/A,"Maintain the integrity of data during unexpected interruptions in business processing, and confirm data integrity after processing
failures. Installation of a UPS, backup generator and DBMS transaction rollback facility."
,06 Information ,0603,,,,,,,,S,S,P,,,,
,06 Information ,0604,,,,,,,,S,S,P,,,,
,06 Information ,0605,,,,,,,,S,S,P,,,,
,06 Information ,0606,,,,,,,,P,S,P,,,,
Modification of client data,06 Information ,0607,"In an enterprise with poor access rights management procedures, a sales manager is given database administration (DBA) rights
in error. This privileged level of access is then used for unauthorized modification of sales data, which results in the misrepresentation of sales activity and inflates the sales manager’s sales target bonus. The data modification is not detected, the additional payments of the sales bonuses are issued and the fraudulent behavior goes undetected.",The nature of the event is a malicious and fraudulent act.,"The actor that generates the threat that exploits the vulnerability is
internal—the sales manager (business user).","The event is an unauthorized modification of sales
data that was allowed by the ineffective design and/or ineffective execution of the process DSS05 Manage security services, its management practice DSS05.04 Manage user identity and logical access, the process DSS06 Manage business process controls and its management practice DSS06.05 Ensure traceability of information events and accountabilities, which allowed the sales manager to inherit DBA access rights.","The assets/resources that lead to the business impact are the process DSS05
Manage security services and its management practice DSS05.04 Manage user identity and logical access and the process DSS06 Manage business process controls and its management practice DSS06.05 Ensure traceability of information events and accountabilities, which allowed the sales manager to inherit DBA access.","The asset/resource that is affected is information, the sales data.","The duration of the event is extended because the modification of the sales data and the fraudulent behavior
can go undetected for a long period of time before it is detected. Because the bonus was not yet calculated and paid out at the time of the modification of the sales data, the timing of occurrence is critical. Because such modifications of data and fraudulent actions are usually only detected by accident, the time for detection is classified as slow. For the same reason, the time between event and consequence is classified as delayed.",P,S,P,N/A,N/A,N/A,"The duration of the event is extended because the modification of the sales
data and the fraudulent behavior can go undetected for a long period of time before it is detected. Because the bonus was not yet calculated and paid out at the time of the modification of the sales data, the timing of occurrence is critical. Because such modifications of data and fraudulent actions are usually only detected by accident, the time for detection is classified as slow. For the same reason, the time between event and consequence is classified as delayed. "
Disclosure of patient data,06 Information ,0608,"A clerical assistant at an insurance company creates an email message that contains patient identifiable data, in plain text, that
details medical conditions and sends it to the wrong email distribution list in error. The clerical assistant either does not realize his/her error, or realizes, but keeps quiet about the error. This results in inappropriate disclosure of patient identifiable information.",The nature of the event is accidental inappropriate disclosure of patient identifiable information.,"The actor that generates the threat that exploits the vulnerability is
internal, a business user (the clerical assistant).",The event is disclosure of patient identifiable information.,"The asset/resource that leads to the business impact is people and skills because the clerical assistant makes the error. A blaming culture could also lead to non-disclosure of the error, which would apply to organizational structures. ",The resource that is affected is information (the patient data).,"Timing is critical. When a user realizes he/she has sent sensitive information to the wrong email address, it is
essential that the user informs his/her supervisor, to allow the situation to be effectively managed. However, in the majority of enterprises, a blame culture exists, and, it is unlikely that the user will admit to the error. Therefore, the duration is likely to be extended, detection is likely to be slow and the time lag between event and consequence is delayed because it is likely that the error will not be detected for a long period of time.",P,S,P,N/A,N/A,N/A,"Data classification and security controls are defined, such as sensitive
information is encrypted before email messages are sent."
,06 Information ,0609,,,,,,,,P,S,P,,,,
,06 Information ,0610,,,,,,,,P,S,P,,,,
,06 Information ,0611,,,,,,,,P,S,P,,,,
