practice_id,activity
EDM02.01,"3. Understand and regularly discuss the opportunities that could arise from enterprise change enabled by current, new or emerging technologies, and optimise the value created from those opportunities."
EDM02.01,"4. Understand what constitutes value for the enterprise, and consider how well it is communicated, understood and applied throughout the enterprise’s processes."
EDM02.01,5. Evaluate how effectively the enterprise and IT strategies have been integrated and aligned within the enterprise and with enterprise goals for delivering value.
EDM02.01,"6. Understand and consider how effective current roles, responsibilities, accountabilities and decision-making bodies are in ensuring value creation from IT-enabled investments, services and assets."
EDM02.01,"7. Consider how well the management of IT-enabled investments, services and assets aligns with enterprise value management and financial management practices."
EDM02.01,"8. Evaluate the portfolio of investments, services and assets for alignment with the enterprise’s strategic objectives; enterprise worth, both financial and non-financial; risk, both delivery risk and benefits risk; business process alignment; effectiveness in terms of usability, availability and responsiveness; and efficiency in terms of cost, redundancy and technical health."
EDM02.02,"1. Define and communicate portfolio and investment types, categories, criteria and relative weightings to the criteria to allow for overall relative value scores."
EDM02.02,"2. Define requirements for stage-gates and other reviews for significance of the investment to the enterprise and associated risk, programme schedules, funding plans, and the delivery of key capabilities and benefits and ongoing contribution to value."
EDM02.02,"3. Direct management to consider potential innovative uses of IT that enable the enterprise to respond to new opportunities or challenges, undertake new business, increase competitiveness, or improve processes."
EDM02.02,4. Direct any required changes in assignment of accountabilities and responsibilities for executing the investment portfolio and delivering value from business processes and services.
EDM02.02,5. Define and communicate enterprise-level value delivery goals and outcome measures to enable effective monitoring.
EDM02.02,6. Direct any required changes to the portfolio of investments and services to realign with current and expected enterprise objectives and/or constraints.
EDM02.02,"7. Recommend consideration of potential innovations, organisational changes or operational improvements that could drive increased value for the enterprise from IT-enabled initiatives."
EDM02.03,"1. Define a balanced set of performance objectives, metrics, targets and benchmarks. Metrics should cover activity and outcome measures, including lead and lag indicators for outcomes, as well as an appropriate balance of financial and non-financial measures. Review and agree on them with the IT and other business functions, and other relevant stakeholders."
EDM02.03,"2. Collect relevant, timely, complete, credible and accurate data to report on progress in delivering value against targets. Obtain a succinct, high-level, all-around view of portfolio, programme and IT (technical and operational capabilities) performance that supports decision making, and ensure that expected results are being achieved."
EDM02.03,"3. Obtain regular and relevant portfolio, programme and IT (technological and functional) performance reports. Review the enterprise’s progress towards identified goals and the extent to which planned objectives have been achieved, deliverables obtained, performance targets met and risk mitigated."
EDM02.03,"4. Upon review of reports, take appropriate management action as required to ensure that value is optimised."
EDM02.03,"5. Upon review of reports, ensure that appropriate management corrective action is initiated and controlled."
EDM03.01,1. Determine the level of IT-related risk that the enterprise is willing to take to meet its objectives (risk appetite).
EDM03.01,2. Evaluate and approve proposed IT risk tolerance thresholds against the enterprise’s acceptable risk and opportunity levels.
EDM03.01,3. Determine the extent of alignment of the IT risk strategy to enterprise risk strategy.
EDM03.01,4. Proactively evaluate IT risk factors in advance of pending strategic enterprise decisions and ensure that risk-aware enterprise decisions are made.
EDM03.01,"5. Determine that IT use is subject to appropriate risk assessment and evaluation, as described in relevant international and national standards."
EDM03.01,6. Evaluate risk management activities to ensure alignment with the enterprise’s capacity for IT-related loss and leadership’s tolerance of it.
EDM03.02,"1. Promote an IT risk-aware culture and empower the enterprise to proactively identify IT risk, opportunity and potential business impacts."
EDM03.02,2. Direct the integration of the IT risk strategy and operations with the enterprise strategic risk decisions and operations.
EDM03.02,3. Direct the development of risk communication plans (covering all levels of the enterprise) as well as risk action plans.
EDM03.02,"4. Direct implementation of the appropriate mechanisms to respond quickly to changing risk and report immediately to appropriate levels of management, supported by agreed-on principles of escalation (what to report, when, where and how)."
EDM03.02,"5. Direct that risk, opportunities, issues and concerns may be identified and reported by anyone at any time. Risk should be managed in accordance with published policies and procedures and escalated to the relevant decision makers."
EDM03.02,"6. Identify key goals and metrics of risk governance and management processes to be monitored, and approve the approaches, methods, techniques and processes for capturing and reporting the measurement information."
EDM03.03,1. Monitor the extent to which the risk profile is managed within the risk appetite thresholds.
EDM03.03,"2. Monitor key goals and metrics of risk governance and management processes against targets, analyse the cause of any deviations, and initiate remedial actions to address the underlying causes."
EDM03.03,3. Enable key stakeholders’ review of the enterprise’s progress towards identified goals.
EDM03.03,4. Report any risk management issues to the board or executive committee.
EDM04.01,"1. Examine and make judgement on the current and future strategy, options for providing IT resources, and developing capabilities to meet current needs and future needs (including sourcing options)."
EDM04.01,"2. Define the principles for guiding the allocation and management of resources and capabilities so that IT can meet the needs of the enterprise, with the required capability and capacity according to the agreed-on priorities and budgetary constraints."
EDM04.01,3. Review and approve the resource plan and enterprise architecture strategies for delivering value and mitigating risk with the allocated resources.
EDM04.01,4. Understand requirements for aligning resource management with enterprise financial and human resources (HR) planning.
EDM04.01,5. Define principles for the management and control of the enterprise architecture.
EDM04.02,"1. Communicate and drive the adoption of the resource management strategies, principles, and agreed-on resource plan and enterprise architecture strategies."
EDM04.02,2. Assign responsibilities for executing resource management.
EDM04.02,"3. Define key goals, measures and metrics for resource management."
EDM04.02,4. Establish principles related to safeguarding resources.
EDM04.02,5. Align resource management with enterprise financial and HR planning.
EDM04.03,1. Monitor the allocation and optimisation of resources in accordance with enterprise objectives and priorities using agreed-on goals and metrics.
EDM04.03,"2. Monitor IT sourcing strategies, enterprise architecture strategies, IT resources and capabilities to ensure that current and future needs of the enterprise can be met."
EDM04.03,"3. Monitor resource performance against targets, analyse the cause of deviations, and initiate remedial action to address the underlying causes."
EDM05.01,"1. Examine and make a judgement on the current and future mandatory reporting requirements relating to the use of IT within the enterprise (regulation, legislation, common law, contractual), including extent and frequency."
EDM05.01,"2. Examine and make a judgement on the current and future reporting requirements for other stakeholders relating to the use of IT within the enterprise, including extent and conditions."
EDM05.01,"3. Maintain principles for communication with external and internal stakeholders, including communication formats and communication channels, and for stakeholder acceptance and sign-off of reporting."
EDM05.02,1. Direct the establishment of the communication strategy for external and internal stakeholders.
EDM05.02,2. Direct the implementation of mechanisms to ensure that information meets all criteria for mandatory IT reporting requirements for the enterprise.
EDM05.02,3. Establish mechanisms for validation and approval of mandatory reporting.
EDM05.02,4. Establish reporting escalation mechanisms.
EDM05.03,1. Periodically assess the effectiveness of the mechanisms for ensuring the accuracy and reliability of mandatory reporting.
EDM05.03,"2. Periodically assess the effectiveness of the mechanisms for, and outcomes from, communication with external and internal stakeholders."
EDM05.03,3. Determine whether the requirements of different stakeholders are met.
APO01.01,"1. Define the scope, internal and external functions, internal and external roles, and capabilities and decision rights required, including those IT activities performed by third parties."
APO01.01,"2. Identify decisions required for the achievement of enterprise outcomes and the IT strategy, and for the management and execution of IT services."
APO01.01,"3. Establish the involvement of stakeholders who are critical to decision making (accountable, responsible, consulted or informed)."
APO01.01,4. Align the IT-related organisation with enterprise architecture organisational models.
APO01.01,"5. Define the focus, roles and responsibilities of each function within the IT-related organisational structure."
APO01.01,"6. Define the management structures and relationships to support the functions and roles of management and execution, in alignment with the governance direction set."
APO01.01,"7. Establish an IT strategy committee (or equivalent) at the board level. This committee should ensure that governance of IT, as part of enterprise governance, is adequately addressed; advise on strategic direction; and review major investments on behalf of the full board."
APO01.01,"8. Establish an IT steering committee (or equivalent) composed of executive, business and IT management to determine prioritisation of IT-enabled investment programmes in line with the enterprise’s business strategy and priorities; track status of projects and resolve resource conflicts; and monitor service levels and service improvements."
APO01.01,"9. Provide guidelines for each management structure (including mandate, objectives, meeting attendees, timing, tracking, supervision and oversight) as well as required inputs for and expected outcomes of meetings."
APO01.01,"10. Define ground rules for communication by identifying communication needs, and implementing plans based on those needs, considering top-down, bottom-up and horizontal communication."
APO01.01,"11. Establish and maintain an optimal co-ordination, communication and liaison structure between the business and IT functions within the enterprise and with entities outside the enterprise."
APO01.01,12. Regularly verify the adequacy and effectiveness of the organisational structure.
APO01.02,"1. Establish, agree on and communicate IT-related roles and responsibilities for all personnel in the enterprise, in alignment with business needs and objectives. Clearly delineate responsibilities and accountabilities, especially for decision making and approvals."
APO01.02,"2. Consider requirements from enterprise and IT service continuity when defining roles, including staff back-up and cross-training requirements."
APO01.02,3. Provide input to the IT service continuity process by maintaining up-to-date contact information and role descriptions in the enterprise.
APO01.02,"4. Include in role and responsibility descriptions adherence to management policies and procedures, the code of ethics, and professional practices."
APO01.02,"5. Implement adequate supervisory practices to ensure that roles and responsibilities are properly exercised, to assess whether all personnel have sufficient authority and resources to execute their roles and responsibilities, and to generally review performance. The level of supervision should be in line with the sensitivity of the position and extent of responsibilities assigned."
APO01.02,6. Ensure that accountability is defined through roles and responsibilities.
APO01.02,7. Structure roles and responsibilities to reduce the possibility for a single role to compromise a critical process.
APO01.03,"1. Obtain an understanding of the enterprise vision, direction and strategy."
APO01.03,"2. Consider the enterprise’s internal environment, including management culture and philosophy, risk tolerance, security, ethical values, code of conduct, accountability, and requirements for management integrity."
APO01.03,3. Derive and integrate IT principles with business principles.
APO01.03,"4. Align the IT control environment with the overall IT policy environment, IT governance and IT process frameworks, and existing enterprise-level risk and control frameworks. Assess industry-specific good practices or requirements (e.g., industry-specific regulations) and integrate them where appropriate."
APO01.03,"5. Align with any applicable national and international governance and management standards and codes of practice, and evaluate available good practices such as COSO’s Internal Control—Integrated Framework and COSO’s Enterprise Risk Management—Integrated Framework."
APO01.03,"6. Create a set of policies to drive the IT control expectations on relevant key topics such as quality, security, confidentiality, internal controls, usage of IT assets, ethics and intellectual property rights."
APO01.03,7. Evaluate and update the policies at least yearly to accommodate changing operating or business environments.
APO01.03,"8. Roll out and enforce IT policies to all relevant staff, so they are built into, and are an integral part of, enterprise operations."
APO01.03,9. Ensure that procedures are in place to track compliance with policies and define the consequences of non-compliance.
APO01.04,"1. Continuously communicate IT objectives and direction. Ensure that communications are supported by executive management in action and words, using all available channels."
APO01.04,"2. Ensure that the information communicated encompasses a clearly articulated mission, service objectives, security, internal controls, quality, code of ethics/conduct, policies and procedures, roles and responsibilities, etc. Communicate the information at the appropriate level of detail for the respective audiences within the enterprise."
APO01.04,3. Provide sufficient and skilled resources to support the communication process.
APO01.05,"1. Understand the context for the placement of the IT function, including an assessment of the enterprise strategy and operating model (centralised, federated, decentralised, hybrid), importance of IT, and sourcing situation and options."
APO01.05,"2. Identify, evaluate and prioritise options for organisational placement, sourcing and operating models."
APO01.05,3. Define placement of the IT function and obtain agreement.
APO01.06,1. Provide policies and guidelines to ensure appropriate and consistent enterprisewide classification of information (data).
APO01.06,"2. Define, maintain and provide appropriate tools, techniques and guidelines to provide effective security and controls over information and information systems in collaboration with the owner."
APO01.06,"3. Create and maintain an inventory of information (systems and data) that includes a listing of owners, custodians and classifications. Include systems that are outsourced and those for which ownership should stay within the enterprise."
APO01.06,"4. Define and implement procedures to ensure the integrity and consistency of all information stored in electronic form such as databases, data warehouses and data archives."
APO01.07,1. Identify business-critical processes based on performance and conformance drivers and related risk. Assess process capability and identify improvement targets. Analyse gaps in process capability and control. Identify options for improvement and redesign of the process. Prioritise initiatives for process improvement based on potential benefits and costs.
APO01.07,"2. Implement agreed-on improvements, operate as normal business practice, and set performance goals and metrics to enable monitoring of process improvements."
APO01.07,"3. Consider ways to improve efficiency and effectiveness (e.g., through training, documentation, standardisation and automation of the process)."
APO01.07,4. Apply quality management practices to update the process.
APO01.07,"5. Retire outdated processes, process components or enablers."
APO01.08,1. Track compliance with policies and procedures.
APO01.08,2. Analyse non-compliance and take appropriate action (this could include changing requirements).
APO01.08,3. Integrate performance and compliance into individual staff members’ performance objectives.
APO01.08,4. Regularly assess the performance of the framework’s enablers and take appropriate action.
APO01.08,5. Analyse trends in performance and compliance and take appropriate action.
APO02.01,"1. Develop and maintain an understanding of enterprise strategy and objectives, as well as the current enterprise operational environment and challenges."
APO02.01,2. Develop and maintain an understanding of the external environment of the enterprise.
APO02.01,3. Identify key stakeholders and obtain insight on their requirements.
APO02.01,4. Identify and analyse sources of change in the enterprise and external environments.
APO02.01,5. Ascertain priorities for strategic change.
APO02.01,6. Understand the current enterprise architecture and work with the enterprise architecture process to determine any potential architectural gaps.
APO02.02,"1. Develop a baseline of the current business and IT environment, capabilities and services against which future requirements can be compared. Include the relevant high-level detail of the current enterprise architecture (business, information, data, applications and technology domains), business processes, IT processes and procedures, the IT organisation structure, external service provision, governance of IT, and enterprisewide IT related skills and competencies."
APO02.02,"2. Identify risk from current, potential and declining technologies."
APO02.02,"3. Identify gaps between current business and IT capabilities and services and reference standards and best practices, competitor business and IT capabilities, and comparative benchmarks of best practice and emerging IT service provision."
APO02.02,"4. Identify issues, strengths, opportunities and threats in the current environment, capabilities and services to understand current performance. Identify areas for improvement in terms of IT’s contribution to enterprise objectives."
APO02.03,1. Consider validated emerging technology or innovation ideas.
APO02.03,"2. Identify threats from declining, current and newly acquired technologies."
APO02.03,3. Define high-level IT objectives/goals and how they will contribute to the enterprise’s business objectives.
APO02.03,"4. Define required and desired business process and IT capabilities and IT services and describe the high-level changes in the enterprise architecture (business, information, data, applications and technology domains), business and IT processes and procedures, the IT organisation structure, IT service providers, governance of IT, and IT skills and competencies."
APO02.03,5. Align and agree with the enterprise architect on proposed enterprise architecture changes.
APO02.03,6. Demonstrate traceability to the enterprise strategy and requirements.
APO02.04,1. Identify all gaps and changes required to realise the target environment.
APO02.04,"2. Consider the high-level implications of all gaps. Consider the value of potential changes to business and IT capabilities, IT services and enterprise architecture, and the implications if no changes are realised."
APO02.04,"3. Assess the impact of potential changes on the business and IT operating models, IT research and development capabilities, and IT investment programmes."
APO02.04,4. Refine the target environment definition and prepare a value statement with the benefits of the target environment.
APO02.05,"1. Define the initiatives required to close gaps and migrate from the current to the target environment, including investment/operational budget, funding sources, sourcing strategy and acquisition strategy."
APO02.05,"2. Identify and adequately address risk, costs and implications of organisational changes, technology evolution, regulatory requirements, business process re-engineering, staffing, insourcing and outsourcing opportunities, etc., in the planning process."
APO02.05,"3. Determine dependencies, overlaps, synergies and impacts amongst initiatives, and prioritise the initiatives."
APO02.05,"4. Identify resource requirements, schedule and investment/operational budgets for each of the initiatives."
APO02.05,5. Create a road map indicating the relative scheduling and interdependencies of the initiatives.
APO02.05,6. Translate the objectives into outcome measures represented by metrics (what) and targets (how much) that can be related to enterprise benefits.
APO02.05,7. Formally obtain support from stakeholders and obtain approval for the plan.
APO02.06,"1. Develop and maintain a network for endorsing, supporting and driving the IT strategy."
APO02.06,"2. Develop a communication plan covering the required messages, target audiences, communication mechanisms/channels and schedules."
APO02.06,3. Prepare a communication package that delivers the plan effectively using available media and technologies.
APO02.06,4. Obtain feedback and update the communication plan and delivery as required.
APO03.01,"1. Identify the key stakeholders and their concerns/objectives, and define the key enterprise requirements to be addressed as well as the architecture views to be developed to satisfy the various stakeholder requirements."
APO03.01,"2. Identify the enterprise goals and strategic drivers of the enterprise and define the constraints that must be dealt with, including enterprisewide constraints and project-specific constraints (time, schedule, resources, etc.)."
APO03.01,3. Align architecture objectives with strategic programme priorities.
APO03.01,"4. Understand the capabilities and desires of the business, then identify options to realise those capabilities."
APO03.01,5. Assess the enterprise’s readiness for change.
APO03.01,"6. Define what is inside and what is outside the scope of the baseline architecture and target architecture efforts, understanding that the baseline and target need not be described at the same level of detail."
APO03.01,"7. Confirm and elaborate architecture principles, including enterprise principles. Ensure that any existing definitions are current and clarify any areas of ambiguity."
APO03.01,8. Understand the current enterprise strategic goals and objectives and work with the strategic planning process to ensure that IT-related enterprise architecture opportunities are leveraged in the development of the strategic plan.
APO03.01,"9. Based on stakeholder concerns, business capability requirements, scope, constraints and principles, create the architecture vision: a high-level view of the baseline and target architectures."
APO03.01,"10. Define the target architecture value propositions, goals and metrics."
APO03.01,"11. Identify the enterprise change risk associated with the architecture vision, assess the initial level of risk (e.g., critical, marginal or negligible) and develop a mitigation strategy for each significant risk."
APO03.01,"12. Develop an enterprise architecture concept business case, outline plans and statement of architecture work, and secure approval to initiate a project aligned and integrated with the enterprise strategy."
APO03.02,"1. Maintain an architecture repository containing standards, reusable components, modelling artefacts, relationships, dependencies and views to enable uniformity of architectural organisation and maintenance."
APO03.02,2. Select reference viewpoints from the architecture repository that will enable the architect to demonstrate how stakeholder concerns are being addressed in the architecture.
APO03.02,"3. For each viewpoint, select the models needed to support the specific view required, using selected tools or methods and the appropriate level of decomposition."
APO03.02,"4. Develop baseline architectural domain descriptions, using the scope and level of detail necessary to support the target architecture and, to the extent possible, identifying relevant architecture building blocks from the architecture repository."
APO03.02,"5. Maintain a process architecture model as part of the baseline and target domain descriptions. Standardise the descriptions and documentation of processes. Define the roles and responsibilities of the process decision makers, process owner, process users, process team and any other process stakeholders who should be involved."
APO03.02,"6. Maintain an information architecture model as part of the baseline and target domain descriptions, consistent with the enterprise’s strategy to enable optimal use of information for decision making. Maintain an enterprise data dictionary that promotes a common understanding and a classification scheme that includes details about data ownership, definition of appropriate security levels, and data retention and destruction requirements."
APO03.02,"7. Verify the architecture models for internal consistency and accuracy and perform a gap analysis between the baseline and target. Prioritise gaps and define new or modified components that must be developed for the target architecture. Resolve potential impacts such as incompatibilities, inconsistencies or conflicts within the envisioned architecture."
APO03.02,8. Conduct a formal stakeholder review by checking the proposed architecture against the original motivation for the architecture project and the statement of architecture work.
APO03.02,"9. Finalise business, information, data, applications and technology domain architectures, and create an architecture definition document."
APO03.03,"1. Determine and confirm key enterprise change attributes, including the enterprise’s culture and how this will impact enterprise architecture implementation, as well as the enterprise’s transition capabilities."
APO03.03,"2. Identify any enterprise drivers that would constrain the sequence of implementation, including a review of the enterprise and line of business strategic and business plans, and consideration of the current enterprise architecture maturity."
APO03.03,"3. Review and consolidate the gap analysis results between the baseline and target architectures and assess their implications with respect to potential solutions/opportunities, interdependencies and alignment with current IT-enabled programmes."
APO03.03,"4. Assess the requirements, gaps, solutions and factors to identify a minimal set of functional requirements whose integration into work packages would lead to a more efficient and effective implementation of the target architecture."
APO03.03,5. Reconcile the consolidated requirements with potential solutions.
APO03.03,"6. Refine the initial dependencies, ensuring that any constraints on the implementation and migration plans are identified, and consolidate them into a dependency analysis report."
APO03.03,"7. Confirm the enterprise’s readiness for, and the risk associated with, enterprise transformation."
APO03.03,8. Formulate a high-level implementation and migration strategy that will guide the target architecture implementation and structure the transition architectures in alignment with enterprise strategic objectives and time scales.
APO03.03,"9. Identify and group major work packages into a coherent set of programmes and projects, respecting the enterprise strategic implementation direction and approach."
APO03.03,10. Develop a series of transition architectures as necessary where the scope of change required to realise the target architecture requires an incremental approach.
APO03.04,1. Establish what the implementation and migration plan should include as part of programme and project planning and ensure that it is aligned with the requirements of applicable decision makers.
APO03.04,2. Confirm transition architecture increments and phases and update the architecture definition document.
APO03.04,3. Define architecture implementation governance requirements.
APO03.05,1. Confirm scope and priorities and provide guidance for solution development and deployment.
APO03.05,2. Manage the portfolio of enterprise architecture services to ensure alignment with strategic objectives and solution development.
APO03.05,"3. Manage enterprise architecture requirements and support with architectural principles, models and building blocks."
APO03.05,4. Identify and align enterprise architecture priorities to value drivers. Define and collect value metrics and measure and communicate enterprise architecture value.
APO03.05,"5. Establish a technology forum to provide architectural guidelines, advice on projects and guidance on the selection of technology. Measure compliance with these standards and guidelines, including compliance with external requirements and their business relevance."
APO04.01,"1. Create an innovation plan that includes risk appetite, the envisioned budget to spend on innovation initiatives, and innovation objectives."
APO04.01,"2. Provide infrastructure that can be an enabler for innovation, such as collaboration tools for enhancing work between geographic locations and divisions."
APO04.01,"3. Create an environment that is conducive to innovation by maintaining relevant HR initiatives, such as innovation recognition and reward programmes, appropriate job rotation, and discretionary time for experimentation."
APO04.01,4. Maintain a programme enabling staff to submit innovation ideas and create an appropriate decision-making structure to assess and take these ideas forward.
APO04.01,"5. Encourage innovation ideas from customers, suppliers and business partners."
APO04.02,"1. Maintain an understanding of the business drivers, enterprise strategy, industry drivers, enterprise operations and other issues so that the potential value-add of technologies or IT innovation can be identified."
APO04.02,"2. Conduct regular meetings with business units, divisions and/or other stakeholder entities to understand current business problems, process bottlenecks, or other constraints where emerging technologies or IT innovation can create opportunities."
APO04.02,3. Understand enterprise investment parameters for innovation and new technologies so appropriate strategies are developed.
APO04.03,1. Understand the enterprise’s interest and potential for adopting new technology innovations and focus awareness efforts on the most opportunistic technology innovations.
APO04.03,"2. Perform research and scanning of the external environment, including appropriate web sites, journals and conferences, to identify emerging technologies."
APO04.03,3. Consult with third-party experts where needed to confirm research findings or as a source of information on emerging technologies.
APO04.03,4. Capture staff members’ IT innovation ideas and analyse them for potential implementation.
APO04.04,"1. Evaluate identified technologies, considering aspects such as time to reach maturity, inherent risk of new technologies (including potential legal implications), fit with the enterprise architecture, and potential to provide additional value."
APO04.04,2. Identify any issues that may need to be resolved or proven through a proof-of-concept initiative.
APO04.04,"3. Scope the proof-of-concept initiative, including desired outcomes, required budget, time frames and responsibilities."
APO04.04,4. Obtain approval for the proof-of-concept initiative.
APO04.04,"5. Conduct proof-of-concept initiatives to test emerging technologies or other innovation ideas, identify any issues, and determine whether further implementation or roll-out should be considered based on feasibility and potential ROI."
APO04.05,"1. Document proof-of-concept results, including guidance and recommendations for trends and innovation programmes."
APO04.05,2. Communicate viable innovation opportunities into the IT strategy and enterprise architecture processes.
APO04.05,3. Follow up on proof-of-concept initiatives to measure the degree to which they have been leveraged in actual investment.
APO04.05,4. Analyse and communicate reasons for rejected proof-of-concept initiatives.
APO04.06,1. Assess the implementation of the new technologies or IT innovations adopted as part of IT strategy and enterprise architecture developments and their realisation during programme management of initiatives.
APO04.06,2. Capture lessons learned and opportunities for improvement.
APO04.06,"3. Adjust the innovation plan, if required."
APO04.06,4. Identify and evaluate the potential value to be realised from the use of innovation.
APO05.01,"1. Validate that IT-enabled investments and current IT services are aligned with enterprise vision, enterprise principles, strategic goals and objectives, enterprise architecture vision, and priorities."
APO05.01,2. Obtain a common understanding between IT and the other business functions on the potential opportunities for IT to drive and support the enterprise strategy.
APO05.01,"3. Create an investment mix that achieves the right balance amongst a number of dimensions, including an appropriate balance of short- and long-term returns, financial and non-financial benefits, and high- and low-risk investments."
APO05.01,"4. Identify the broad categories of information systems, applications, data, IT services, infrastructure, IT assets, resources, skills, practices, controls and relationships needed to support the enterprise strategy."
APO05.01,"5. Agree on an IT strategy and goals, taking into account the inter-relationships between the enterprise strategy and the IT services, assets and other resources. Identify and leverage synergies that can be achieved."
APO05.02,"1. Understand the current availability and commitment of funds, the current approved spending, and the actual amount spent to date."
APO05.02,"2. Identify options for obtaining additional funds for IT-enabled investments, internally and from external sources."
APO05.02,3. Determine the implications of the funding source on the investment return expectations.
APO05.03,"1. Recognise investment opportunities and classify them in line with the investment portfolio categories. Specify expected enterprise outcome(s), all initiatives required to achieve the expected outcomes, costs, dependencies and risk, and how all would be measured."
APO05.03,"2. Perform detailed assessments of all programme business cases, evaluating strategic alignment, enterprise benefits, risk and availability of resources."
APO05.03,"3. Assess the impact on the overall investment portfolio of adding candidate programmes, including any changes that might be required to other programmes."
APO05.03,4. Decide which candidate programmes should be moved to the active investment portfolio. Decide whether rejected programmes should be held for future consideration or provided with some seed funding to determine whether the business case can be improved or discarded.
APO05.03,5. Determine the required milestones for each selected programme’s full economic life cycle. Allocate and reserve total programme funding per milestone. Move the programme into the active investment portfolio.
APO05.03,"6. Establish procedures to communicate the cost, benefit and risk-related aspects of these portfolios to the budget prioritisation, cost management and benefit management processes."
APO05.04,"1. Review the portfolio on a regular basis to identify and exploit synergies, eliminate duplication between programmes, and identify and mitigate risk."
APO05.04,"2. When changes occur, re-evaluate and reprioritise the portfolio to ensure that the portfolio is aligned with the business strategy and the target mix of investments is maintained so the portfolio is optimising overall value. This may require programmes to be changed, deferred or retired, and new programmes to be initiated."
APO05.04,"3. Adjust the enterprise targets, forecasts, budgets and, if required, the degree of monitoring to reflect the expenditures to be incurred and enterprise benefits to be realised by programmes in the active investment portfolio. Incorporate programme expenditures into chargeback mechanisms."
APO05.04,4. Provide an accurate view of the performance of the investment portfolio to all stakeholders.
APO05.04,"5. Provide management reports for senior management’s review of the enterprise’s progress towards identified goals, stating what still needs to be spent and accomplished over what time frames."
APO05.04,"6. Include in the regular performance monitoring information on the extent to which planned objectives have been achieved, risk mitigated, capabilities created, deliverables obtained and performance targets met."
APO05.04,"7. Identify deviations for:
• Budget control between actual and budget
• Benefit management of:
– Actual vs. targets for investments for solutions, possibly expressed in terms of ROI, NPV or internal rate of return (IRR)
– The actual trend of service portfolio cost for service delivery productivity improvements"
APO05.04,"8. Develop metrics for measuring IT’s contribution to the enterprise, and establish appropriate performance targets reflecting the required IT and enterprise capability targets. Use guidance from external experts and benchmark data to develop metrics."
APO05.05,"1. Create and maintain portfolios of IT-enabled investment programmes, IT services and IT assets, which form the basis for the current IT budget and support the IT tactical and strategic plans."
APO05.05,2. Work with service delivery managers to maintain the service portfolios and with operations managers and architects to maintain the asset portfolios. Prioritise portfolios to support investment decisions.
APO05.05,3. Remove the programme from the active investment portfolio when the desired enterprise benefits have been achieved or when it is clear that benefits will not be achieved within the value criteria set for the programme.
APO05.06,"1. Use the agreed-on metrics and track how benefits are achieved, how they evolve throughout the life cycle of programmes and projects, how they are being delivered from IT services, and how they compare to internal and industry benchmarks. Communicate results to stakeholders."
APO05.06,2. Implement corrective action when achieved benefits significantly deviate from expected benefits. Update the business case for new initiatives and implement business process and service improvements as required.
APO05.06,"3. Consider obtaining guidance from external experts, industry leaders and comparative benchmarking data to test and improve the metrics and targets."
APO06.01,"1. Define processes, inputs and outputs, and responsibilities in alignment with the enterprise budgeting and cost accounting policies and approach to systematically drive IT budgeting and costing; enable fair, transparent, repeatable and comparable estimation of IT costs and benefits for input to the portfolio of IT-enabled business programmes; and ensure that budgets and costs are maintained in the IT asset and services portfolios."
