practise_id,practice_name,practice_governance
APO01.06,Define information (data) and system ownership.,Define and maintain responsibilities for ownership of information (data) and information systems. Ensure that owners make decisions about classifying information and systems and protecting them in line with this classification.
APO01.07,Manage continual improvement of processes.,"Assess, plan and execute the continual improvement of processes and their maturity to ensure that they are capable of delivering against enterprise, governance, management and control objectives. Consider COBIT process implementation guidance, emerging standards, compliance requirements, automation opportunities, and the feedback of process users, the process team and other stakeholders. Update the process and consider impacts on process enablers."
APO01.08,Maintain compliance with policies and procedures.,"Put in place procedures to maintain compliance with and performance measurement of policies and other enablers of the control framework, and enforce the consequences of non-compliance or inadequate performance. Track trends and performance and consider these in the future design and improvement of the control framework."
APO02.01,Understand enterprise direction.,"Consider the current enterprise environment and business processes, as well as the enterprise strategy and future objectives. Consider also the external environment of the enterprise (industry drivers, relevant regulations, basis for competition)."
APO02.02,"Assess the current environment, capabilities and performance.","Assess the performance of current internal business and IT capabilities and external IT services, and develop an understanding of the enterprise architecture in relation to IT. Identify issues currently being experienced and develop recommendations in areas that could benefit from improvement. Consider service provider differentiators and options and the financial impact and potential costs and benefits of using external services."
APO02.03,Define the target IT capabilities.,"Define the target business and IT capabilities and required IT services. This should be based on the understanding of the enterprise environment and requirements; the assessment of the current business process and IT environment and issues; and consideration of reference standards, best practices and validated emerging technologies or innovation proposals."
APO02.04,Conduct a gap analysis.,Identify the gaps between the current and target environments and consider the alignment of assets (the capabilities that support services) with business outcomes to optimise investment in and utilisation of the internal and external asset base. Consider the critical success factors to support strategy execution.
APO02.05,Define the strategic plan and road map.,"Create a strategic plan that defines, in co-operation with relevant stakeholders, how IT-related goals will contribute to the enterprise’s strategic goals. Include how IT will support IT-enabled investment programmes, business processes, IT services and IT assets. Direct IT to define the initiatives that will be required to close the gaps, the sourcing strategy and the measurements to be used to monitor achievement of goals, then prioritise the initiatives and combine them in a high-level road map."
APO02.06,Communicate the IT strategy and direction.,"Create awareness and understanding of the business and IT objectives and direction, as captured in the IT strategy, through communication to appropriate stakeholders and users throughout the enterprise."
APO03.01,Develop the enterprise architecture vision.,"The architecture vision provides a first-cut, high-level description of the baseline and target architectures, covering the business, information, data, application and technology domains. The architecture vision provides the sponsor with a key tool to sell the benefits of the proposed capability to stakeholders within the enterprise. The architecture vision describes how the new capability will meet enterprise goals and strategic objectives and address stakeholder concerns when implemented."
APO03.02,Define reference architecture.,"The reference architecture describes the current and target architectures for the business, information, data, application and technology domains."
APO03.03,Select opportunities and solutions.,"Rationalise the gaps between baseline and target architectures, taking both business and technical perspectives, and logically group them into project work packages. Integrate the project with any related IT-enabled investment programmes to ensure that the architectural initiatives are aligned with and enable these initiatives as part of overall enterprise change. Make this a collaborative effort with key enterprise stakeholders from business and IT to assess the enterprise’s transformation readiness, and identify opportunities, solutions and all implementation constraints."
APO03.04,Define architecture implementation.,Create a viable implementation and migration plan in alignment with the programme and project portfolios. Ensure that the plan is closely co-ordinated to ensure that value is delivered and the required resources are available to complete the necessary work.
APO03.05,Provide enterprise architecture services.,"The provision of enterprise architecture services within the enterprise includes guidance to and monitoring of implementation projects, formalising ways of working through architecture contracts, and measuring and communicating architecture’s value-add and compliance monitoring."
APO04.01,Create an environment conducive to innovation.,"Create an environment that is conducive to innovation, considering issues such as culture, reward, collaboration, technology forums, and mechanisms to promote and capture employee ideas."
APO04.02,Maintain an understanding of the enterprise environment.,Work with relevant stakeholders to understand their challenges. Maintain an adequate understanding of enterprise strategy and the competitive environment  or other constraints so that opportunities enabled by new technologies can be identified.
APO04.03,Monitor and scan the technology environment.,"Perform systematic monitoring and scanning of the enterprise’s external environment to identify emerging technologies that have the potential to create value (e.g., by realising the enterprise strategy, optimising costs, avoiding obsolescence, and better enabling enterprise and IT processes). Monitor the marketplace, competitive landscape, industry sectors, and legal and regulatory trends to be able to analyse emerging technologies or innovation ideas in the enterprise context."
APO04.04,Assess the potential of emerging technologies and innovation ideas.,Analyse identified emerging technologies and/or other IT innovation suggestions. Work with stakeholders to validate assumptions on the potential of new technologies and innovation.
APO04.05,Recommend appropriate further initiatives.,"Evaluate and monitor the results of proof-of-concept initiatives and, if favourable, generate recommendations for further initiatives and gain stakeholder support."
APO04.06,Monitor the implementation and use of innovation.,"Monitor the implementation and use of emerging technologies and innovations during integration, adoption and for the full economic life cycle to ensure that the promised benefits are realised and to identify lessons learned."
APO05.01,Establish the target investment mix.,"Review and ensure clarity of the enterprise and IT strategies and current services. Define an appropriate investment mix based on cost, alignment with strategy, and financial measures such as cost and expected ROI over the full economic life cycle, degree of risk, and type of benefit for the programmes in the portfolio.  Adjust the enterprise and IT strategies where necessary."
APO05.02,Determine the availability and sources of funds.,"Determine potential sources of funds, different funding options and the implications of the funding source on the investment return expectations."
APO05.03,Evaluate and select programmes to fund.,"Based on the overall investment portfolio mix requirements, evaluate and prioritise programme business cases, and decide on investment proposals. Allocate funds and initiate programmes."
APO05.04,"Monitor, optimise and report on investment portfolio performance.","On a regular basis, monitor and optimise the performance of the  investment portfolio and individual programmes throughout the entire  investment life cycle."
APO05.05,Maintain portfolios.,"Maintain portfolios of investment programmes and projects, IT services and IT assets."
APO05.06,Manage benefits achievement.,"Monitor the benefits of providing and maintaining appropriate IT services and capabilities, based on the agreed-on and current business case."
APO06.01,Manage finance and accounting.,"Establish and maintain a method to account for all IT-related costs, investments and depreciation as an integral part of the enterprise financial systems and chart of accounts to manage the investments and costs of IT. Capture and allocate actual costs, analyse variances between forecasts and actual costs, and report using the enterprise’s financial measurement systems."
APO06.02,Prioritise resource allocation.,"Implement a decision-making process to prioritise the allocation of resources and rules for discretionary investments by individual business units. Include the potential use of external service providers and consider the buy, develop and rent options."
APO06.03,Create and maintain budgets.,Prepare a budget reflecting the investment priorities supporting strategic objectives based on the portfolio of IT-enabled programmes and IT services.
APO06.04,Model and allocate costs.,"Establish and use an IT costing model based on the service definition, ensuring that allocation of costs for services is identifiable, measurable and predictable, to encourage the responsible use of resources including those provided by service providers. Regularly review and benchmark the appropriateness of the cost/chargeback model to maintain its relevance and appropriateness to the evolving business and IT activities."
APO06.05,Manage costs.,"Implement a cost management process comparing actual costs to budgets. Costs should be monitored and reported and, in the case of deviations, identified in a timely manner and their impact on enterprise processes and services assessed."
APO07.01,Maintain adequate and appropriate staffing.,Evaluate staffing requirements on a regular basis or upon major changes to the enterprise or operational or IT environments to ensure that the enterprise has sufficient human resources to support enterprise goals and objectives. Staffing includes both internal and external resources.
APO07.02,Identify key IT personnel.,"Identify key IT personnel while minimising reliance on a single individual performing a critical job function through knowledge capture (documentation), knowledge sharing, succession planning and staff backup."
APO07.03,Maintain the skills and competencies of personnel.,"Define and manage the skills and competencies required of personnel. Regularly verify that personnel have the competencies to fulfil their roles on the basis of their education, training and/or experience, and verify that these competencies are being maintained, using qualification and certification programmes where appropriate. Provide employees with ongoing learning and opportunities to maintain their knowledge, skills and competencies at a level required to achieve enterprise goals."
APO07.04,Evaluate employee job performance.,"Perform timely performance evaluations on a regular basis against individual objectives derived from the enterprise’s goals, established standards, specific job responsibilities, and the skills and competency framework. Employees should receive coaching on performance and conduct whenever appropriate."
APO07.05,Plan and track the usage of IT and business human resources.,"Understand and track the current and future demand for business and IT human resources with responsibilities for enterprise IT. Identify shortfalls and provide input into sourcing plans, enterprise and IT recruitment processes sourcing plans, and business and IT recruitment processes."
APO07.06,Manage contract staff.,Ensure that consultants and contract personnel who support the enterprise with IT skills know and comply with the organisation’s policies and meet agreed-on contractual requirements.
APO08.01,Understand business expectations.,"Understand current business issues and objectives and business expectations for IT. Ensure that requirements are understood, managed and communicated, and their status agreed on and approved."
APO08.02,"Identify opportunities, risk and constraints for IT to enhance the business.",Identify potential opportunities for IT to be an enabler of enhanced enterprise performance.
APO08.03,Manage the business relationship.,"Manage the relationship with customers (business representatives). Ensure that relationship roles and responsibilities are defined and assigned, and communication is facilitated."
APO08.04,Co-ordinate and communicate.,Work with stakeholders and co-ordinate the end-to-end delivery of IT services and solutions provided to the business.
APO08.05,Provide input to the continual improvement of services.,Continually improve and evolve IT-enabled services and service delivery to the enterprise to align with changing enterprise and technology requirements.
APO09.01,Identify IT services.,"Analyse business requirements and the way in which IT-enabled services and service levels support business processes. Discuss and agree on potential services and service levels with the business, and compare them with the current service portfolio to identify new or changed services or service level options."
APO09.02,Catalogue IT-enabled services.,Define and maintain one or more service catalogues for relevant target groups. Publish and maintain live IT-enabled services in the service catalogues.
APO09.03,Define and prepare service agreements.,Define and prepare service agreements based on the options in the service catalogues. Include internal operational agreements.
APO09.04,Monitor and report service levels.,"Monitor service levels, report on achievements and identify trends. Provide the appropriate management information to aid performance management."
APO09.05,Review service agreements and contracts.,Conduct periodic reviews of the service agreements and revise when needed.
APO10.01,Identify and evaluate supplier relationships and contracts.,"Identify suppliers and associated contracts and categorise them into type, significance and criticality. Establish supplier and contract evaluation criteria and evaluate the overall portfolio of existing and alternative suppliers and contracts."
APO10.02,Select suppliers.,Select suppliers according to a fair and formal practice to ensure a viable best fit based on specified requirements. Requirements should be optimised with input from potential suppliers.
APO10.03,Manage supplier relationships and contracts.,"Formalise and manage the supplier relationship for each supplier. Manage, maintain and monitor contracts and service delivery. Ensure that new or changed contracts conform to enterprise standards and legal and regulatory requirements. Deal with contractual disputes."
APO10.04,Manage supplier risk.,"Identify and manage risk relating to suppliers’ ability to continually provide secure, efficient and effective service delivery."
APO10.05,Monitor supplier performance and compliance.,"Periodically review the overall performance of suppliers, compliance to contract requirements, and value for money, and address identified issues."
APO11.01,Establish a quality management system (QMS).,"Establish and maintain a QMS that provides a standard, formal and continuous approach to quality management for information, enabling technology and business processes that are aligned with business requirements and enterprise quality management."
APO11.02,"Define and manage quality standards, practices and procedures.","Identify and maintain requirements, standards, procedures and practices for key processes to guide the enterprise in meeting the intent of the agreed-on QMS. This should be in line with the IT control framework requirements. Consider certification for key processes, organisational units, products or services."
APO11.03,Focus quality management on customers.,Focus quality management on customers by determining their requirements and ensuring alignment with the quality management practices.
APO11.04,"Perform quality monitoring, control and reviews.","Monitor the quality of processes and services on an ongoing basis as defined by the QMS. Define, plan and implement measurements to monitor customer satisfaction with quality as well as the value the QMS provides. The information gathered should be used by the process owner to improve quality."
APO11.05,Integrate quality management into solutions for development and service delivery.,"Incorporate relevant quality management practices into the definition, monitoring, reporting and ongoing management of solutions development and service offerings."
APO11.06,Maintain continuous improvement.,"Maintain and regularly communicate an overall quality plan that promotes continuous improvement. This should include the need for, and benefits of, continuous improvement. Collect and analyse data about the QMS, and improve its effectiveness. Correct non-conformities to prevent recurrence. Promote a culture of quality and continual improvement."
APO12.01,Collect data.,"Identify and collect relevant data to enable effective IT-related risk identification, analysis and reporting."
APO12.02,Analyse risk.,Develop useful information to support risk decisions that take into account the business relevance of risk factors.
APO12.03,Maintain a risk profile.,"Maintain an inventory of known risk and risk attributes (including expected frequency, potential impact and responses) and of related resources, capabilities and current control activities."
APO12.04,Articulate risk.,Provide information on the current state of IT-related exposures and opportunities in a timely manner to all required stakeholders for appropriate response.
APO12.05,Define a risk management action portfolio.,Manage opportunities to reduce risk to an acceptable level as a portfolio.
APO12.06,Respond to risk.,Respond in a timely manner with effective measures to limit the magnitude of loss from IT-related events.
APO13.01,Establish and maintain an ISMS.,"Establish and maintain an ISMS that provides a standard, formal and continuous approach to security management for information, enabling secure technology and business processes that are aligned with business requirements and enterprise security management."
APO13.02,Define and manage an information security risk treatment plan.,"Maintain an information security plan that describes how information security risk is to be managed and aligned with the enterprise strategy and enterprise architecture. Ensure that recommendations for implementing security improvements are based on approved business cases and implemented as an integral part of services and solutions development, then operated as an integral part of business operation."
APO13.03,Monitor and review the ISMS.,"Maintain and regularly communicate the need for, and benefits of, continuous information security improvement. Collect and analyse data about the ISMS, and improve the effectiveness of the ISMS. Correct non-conformities to prevent recurrence. Promote a culture of security and continual improvement."
BAI01.01,Maintain a standard approach for programme and project management.,"Maintain a standard approach for programme and project management that enables governance and management review and decision making and delivery management activities focussed on achieving value and goals (requirements, risk, costs, schedule, quality) for the business in a consistent manner."
BAI01.02,Initiate a programme.,"Initiate a programme to confirm the expected benefits
and obtain authorisation to proceed. This includes agreeing on programme sponsorship, confirming the programme mandate through approval of the conceptual business case, appointing programme board or committee members, producing the programme brief, reviewing and updating the business case, developing a benefits realisation plan, and obtaining approval from sponsors to proceed."
BAI01.03,Manage stakeholder engagement.,"Manage stakeholder engagement to ensure an active exchange of accurate, consistent and timely information that reaches all relevant stakeholders. This includes planning, identifying and engaging stakeholders and managing their expectations."
BAI01.04,Develop and maintain the programme plan.,"Formulate a programme to lay the initial groundwork and to position it for successful execution by formalising the scope of the work to be accomplished and identifying the deliverables that will satisfy its goals and deliver value. Maintain and update the programme plan and business case throughout the full economic life cycle of the programme, ensuring alignment with strategic objectives and reflecting the current status and updated insights gained to date."
BAI01.05,Launch and execute the programme.,"Launch and execute the programme to acquire and direct the resources needed to accomplish the goals and benefits of the programme as defined in the programme plan. In accordance with stage-gate or release review criteria, prepare for stage-gate, iteration or release reviews to report on the progress of the programme and to be able to make the case for funding up to the following stage-gate or release review."
BAI01.06,"Monitor, control and report on the programme outcomes.",Monitor and control programme (solution delivery) and enterprise (value/outcome) performance against plan throughout the full economic life cycle of the investment. Report this performance to the programme steering committee and the sponsors.
BAI01.07,Start up and initiate projects within a programme.,Define and document the nature and scope of the project to confirm and develop amongst stakeholders a common understanding of project scope and how it relates to other projects within the overall IT-enabled investment programme. The definition should be formally approved by the programme and project sponsors.
BAI01.08,Plan projects.,"Establish and maintain a formal, approved integrated project plan (covering business and IT resources) to guide project execution and control throughout the life of the project. The scope of projects should be clearly defined and tied to building or enhancing business capability."
BAI01.09,Manage programme and project quality.,"Prepare and execute a quality management plan, processes and practices, aligned with the QMS that describes the programme and project quality approach and how it will be implemented. The plan should be formally reviewed and agreed on by all parties concerned and then incorporated into the integrated programme and project plans."
BAI01.10,Manage programme and project risk.,"Eliminate or minimise specific risk associated with programmes and projects through a systematic process of planning, identifying, analysing, responding to, and monitoring and controlling the areas or events that have the potential to cause unwanted change. Risk faced by programme and project management should be established and centrally recorded."
BAI01.11,Monitor and control projects.,"Measure project performance against key project performance criteria such as schedule, quality, cost and risk. Identify any deviations from the expected. Assess the impact of deviations on the project and overall programme, and report results to key stakeholders."
BAI01.12,Manage project resources and work packages.,"Manage project work packages by placing formal requirements on authorising and accepting work packages, and assigning and co-ordinating appropriate business and IT resources."
BAI01.13,Close a project or iteration.,"At the end of each project, release or iteration, require the project stakeholders to ascertain whether the project, release or iteration delivered the planned results and value. Identify and communicate any outstanding activities required to achieve the planned results of the project and the benefits of the programme, and identify and document lessons learned for use on future projects, releases, iterations and programmes."
BAI01.14,Close a programme.,Remove the programme from the active investment portfolio when there is agreement that the desired value has been achieved or when it is clear it will not be achieved within the value criteria set for the programme.
BAI02.01,Define and maintain business functional and technical requirements.,"Based on the business case, identify, prioritise, specify and agree on business information, functional, technical and control requirements covering the scope/understanding of all initiatives required to achieve the expected outcomes of the proposed IT-enabled business solution."
BAI02.02,Perform a feasibility study and formulate alternative solutions.,"Perform a feasibility study of potential alternative solutions, assess their viability and select the preferred option. If appropriate, implement the selected option as a pilot to determine possible improvements."
BAI02.03,Manage requirements risk.,"Identify, document, prioritise and mitigate functional, technical and information processing-related risk associated with the enterprise requirements and proposed solution."
BAI02.04,Obtain approval of requirements and solutions.,"Co-ordinate feedback from affected stakeholders and, at predetermined key stages, obtain business sponsor or product owner approval and sign-off on functional and technical requirements, feasibility studies, risk analyses and recommended solutions."
BAI03.01,Design high-level solutions.,Develop and document high-level designs using agreed-on and appropriate phased or rapid agile development techniques. Ensure alignment with the IT strategy and enterprise architecture. Reassess and update the designs when significant issues occur during detailed design or building phases or as the solution evolves. Ensure that stakeholders actively participate in the design and approve each version.
BAI03.02,Design detailed solution components.,"Develop, document and elaborate detailed designs progressively using agreed-on and appropriate phased or rapid agile development techniques, addressing all components (business processes and related automated and manual controls, supporting IT applications, infrastructure services and technology products, and partners/suppliers). Ensure that the detailed design includes internal and external SLAs and OLAs."
BAI03.03,Develop solution components.,"Develop solution components progressively in accordance with detailed designs following development methods and documentation standards, quality assurance (QA) requirements, and approval standards. Ensure that all control requirements in the business processes, supporting IT applications and infrastructure services, services and technology products, and partners/suppliers are addressed."
BAI03.04,Procure solution components.,"Procure solution components based on the acquisition plan in accordance with requirements and detailed designs, architecture principles and standards, and the enterprise’s overall procurement and contract procedures, QA requirements, and approval standards. Ensure that all legal and contractual requirements are identified and addressed by the supplier."
BAI03.05,Build solutions.,"Install and configure solutions and integrate with business process activities. Implement control, security and auditability measures during configuration, and during integration of hardware and infrastructural software, to protect resources and ensure availability and data integrity. Update the services catalogue to reflect the new solutions."
BAI03.06,Perform quality assurance.,"Develop, resource and execute a QA plan aligned with the QMS to obtain the quality specified in the requirements definition and the enterprise’s quality policies and procedures."
BAI03.07,Prepare for solution testing.,"Establish a test plan and required environments to test the individual and integrated solution components, including the business processes and supporting services, applications and infrastructure."
BAI03.08,Execute solution testing.,"Execute testing continually during development, including control testing, in accordance with the defined test plan and development practices in the appropriate environment. Engage business process owners and end users in the test team. Identify, log and prioritise errors and issues identified during testing."
BAI03.09,Manage changes to requirements.,Track the status of individual requirements (including all rejected requirements) throughout the project life cycle and manage the approval of changes to requirements.
BAI03.10,Maintain solutions.,Develop and execute a plan for the maintenance of solution and infrastructure components. Include periodic reviews against business needs and operational requirements.
BAI03.11,Define IT services and maintain the service portfolio.,Define and agree on new or changed IT services and service level options. Document new or changed service definitions and service level options to be updated in the services portfolio.
BAI04.01,"Assess current availability, performance and capacity and create a baseline.","Assess availability, performance and capacity of services and resources to ensure that cost-justifiable capacity and performance are available to support business needs and deliver against SLAs. Create availability, performance and capacity baselines for future comparison."
BAI04.02,Assess business impact.,"Identify important services to the enterprise, map services and resources to business processes, and identify business dependencies. Ensure that the impact of unavailable resources is fully agreed on and accepted by the customer. Ensure that, for vital business functions, the SLA availability requirements can be satisfied."
BAI04.03,Plan for new or changed service requirements.,"Plan and prioritise availability, performance and capacity implications of changing business needs and service requirements."
BAI04.04,Monitor and review availability and capacity.,"Monitor, measure, analyse, report and review availability, performance and capacity. Identify deviations from established baselines. Review trend analysis reports identifying any significant issues and variances, initiating actions where necessary, and ensuring that all outstanding issues are followed up."
BAI04.05,"Investigate and address availability, performance and capacity issues.","Address deviations by investigating and resolving identified availability, performance and capacity issues."
BAI05.01,Establish the desire to change.,Understand the scope and impact of the envisioned change and stakeholder readiness/willingness to change. Identify actions to motivate stakeholders to accept and want to make the change work successfully.
BAI05.02,Form an effective implementation team.,"Establish an effective implementation team by assembling appropriate members, creating trust, and establishing common goals and effectiveness measures."
BAI05.03,Communicate desired vision.,"Communicate the desired vision for the change in the language of those affected by it. The communication should be made by senior management and include the rationale for, and benefits of, the change, the impacts of not making the change; and the vision, the road map and the involvement required of the various stakeholders."
BAI05.04,Empower role players and identify short-term wins.,"Empower those with implementation roles by ensuring that accountabilities are assigned, providing training, and aligning organisational structures and HR processes. Identify and communicate short-term wins that can be realised and are important from a change enablement perspective."
BAI05.05,Enable operation and use.,"Plan and implement all technical, operational and usage aspects such that all those who are involved in the future state environment can exercise their responsibility."
BAI05.06,Embed new approaches.,"Embed the new approaches by tracking implemented changes, assessing the effectiveness of the operation and use plan, and sustaining ongoing awareness through regular communication. Take corrective measures as appropriate, which may include enforcing compliance."
BAI05.07,Sustain changes.,"Sustain changes through effective training of new staff, ongoing communication campaigns, continued top management commitment, adoption monitoring and sharing of lessons learned across the enterprise."
BAI06.01,"Evaluate, prioritise and authorise change requests.","Evaluate all requests for change to determine the impact on business processes and IT services, and to assess whether change will adversely affect the operational environment and introduce unacceptable risk. Ensure that changes are logged, prioritised, categorised, assessed, authorised, planned and scheduled."
BAI06.02,Manage emergency changes.,Carefully manage emergency changes to minimise further incidents and make sure the change is controlled and takes place securely. Verify that emergency changes are appropriately assessed and authorised after the change.
BAI06.03,Track and report change status.,"Maintain a tracking and reporting system to document rejected changes, communicate the status of approved and in-process changes, and complete changes. Make certain that approved changes are implemented as planned."
BAI06.04,Close and document the changes.,"Whenever changes are implemented, update accordingly the solution and user documentation and the procedures affected by the change."
BAI07.01,Establish an implementation plan.,"Establish an implementation plan that covers system and data conversion, acceptance testing criteria, communication, training, release preparation, promotion to production, early production support, a fallback/backout plan, and a post-implementation review. Obtain approval from relevant parties."
BAI07.02,"Plan business process, system and data conversion.","Prepare for business process, IT service data and infrastructure migration as part of the enterprise’s development methods, including audit trails and a recovery plan should the migration fail."
BAI07.03,Plan acceptance tests.,"Establish a test plan based on enterprisewide standards that define roles, responsibilities, and entry and exit criteria. Ensure that the plan is approved by  relevant parties."
BAI07.04,Establish a test environment.,"Define and establish a secure test environment representative of the planned business process and IT operations environment, performance and capacity, security, internal controls, operational practices, data quality and privacy requirements, and workloads."
BAI07.05,Perform acceptance tests.,Test changes independently in accordance with the defined test plan prior to migration to the live operational environment.
BAI07.06,Promote to production and manage releases.,"Promote the accepted solution to the business and operations. Where appropriate, run the solution as a pilot implementation or in parallel with the old solution for a defined period and compare behaviour and results. If significant problems occur, revert back to the original environment based on the fallback/backout plan. Manage releases of solution components."
BAI07.07,Provide early production support.,Provide early support to the users and IT operations for an agreed-on period of time to deal with issues and help stabilise the new solution.
BAI07.08,Perform a post-implementation review.,"Conduct a post-implementation review to confirm outcome and results, identify lessons learned, and develop an action plan. Evaluate and check the actual performance and outcomes of the new or changed service against the predicted performance and outcomes (i.e., the service expected by the user or customer)."
BAI08.01,Nurture and facilitate a knowledge-sharing culture.,Devise and implement a scheme to nurture and facilitate a knowledge-sharing culture.
BAI08.02,Identify and classify sources of information.,"Identify, validate and classify diverse sources of internal and external information required to enable effective use and operation of business processes and IT services."
BAI08.03,Organise and contextualise information into knowledge.,Organise information based on classification criteria. Identify and create meaningful relationships between information elements and enable use of information. Identify owners and define and implement levels of access to knowledge resources.
BAI08.04,Use and share knowledge.,"Propagate available knowledge resources to relevant stakeholders and communicate how these resources can be used to address different needs (e.g., problem solving, learning, strategic planning and decision making)."
BAI08.05,Evaluate and retire information.,Measure the use and evaluate the currency and relevance of information. Retire obsolete information.
BAI09.01,Identify and record current assets.,Maintain an up-to-date and accurate record of all IT assets required to deliver services and ensure alignment with configuration management and financial management.
BAI09.02,Manage critical assets.,Identify assets that are critical in providing service capability and take steps to maximise their reliability and availability to support business needs.
BAI09.03,Manage the asset life cycle.,Manage assets from procurement to disposal to ensure that assets are utilised as effectively and efficiently as possible and are accounted for and physically protected.
BAI09.04,Optimise asset costs.,Regularly review the overall asset base to identify ways to optimise costs and maintain alignment with business needs.
BAI09.05,Manage licences.,Manage software licences so that the optimal number of licences is maintained to support business requirements and the number of licences owned is sufficient to cover the installed software in use.
BAI10.01,Establish and maintain a configuration model.,"Establish and maintain a logical model of the services, assets and infrastructure and how to record configuration items (CIs) and the relationships amongst them. Include the CIs considered necessary to manage services effectively and to provide a single reliable description of the assets in a service."
BAI10.02,Establish and maintain a configuration repository and baseline.,Establish and maintain a configuration management repository and create controlled configuration baselines.
BAI10.03,Maintain and control configuration items.,Maintain an up-to-date repository of configuration items by populating with changes.
BAI10.04,Produce status and configuration reports.,Define and produce configuration reports on status changes of configuration items.
BAI10.05,Verify and review integrity of the configuration repository.,Periodically review the configuration repository and verify completeness and correctness against the desired target.
DSS01.01,Perform operational procedures.,Maintain and perform operational procedures and operational tasks reliably and consistently.
DSS01.02,Manage outsourced IT services.,Manage the operation of outsourced IT services to maintain the protection of enterprise information and reliability of service delivery.
DSS01.03,Monitor IT infrastructure.,"Monitor the IT infrastructure and related events. Store sufficient chronological information in operations logs to enable the reconstruction, review and examination of the time sequences of operations and the other activities surrounding or supporting operations."
DSS01.04,Manage the environment.,Maintain measures for protection against environmental factors. Install specialised equipment and devices to monitor and control the environment.
DSS01.05,Manage facilities.,"Manage facilities, including power and communications equipment, in line with laws and regulations, technical and business requirements, vendor specifications, and health and safety guidelines."
DSS02.01,Define incident and service request classification schemes.,Define incident and service request classification schemes and models.
DSS02.02,"Record, classify and prioritise requests and incidents.","Identify, record and classify service requests and incidents, and assign a priority according to business criticality and service agreements."
